Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2400,3.660549,0.0,400.0,0.008745357,-57.2,-57.2,1.0
4800,2.3103068,0.0,4.0,0.7063958,4.305785123966942,4.305785123966942,1.0
7200,2.2808259,0.0,4.0,0.5621657,16.897916666666667,16.897916666666667,1.0
9600,2.1814983,0.0,4.0,0.6633858,47.416666666666664,47.416666666666664,1.0
12000,2.0731382,0.0,4.0,1.1430931,57.89375,57.89375,1.0
14400,1.9833488,0.0,4.0,1.9815358,61.077083333333334,61.077083333333334,1.0
16800,1.9587215,0.0,4.0,3.2080703,60.67916666666667,60.67916666666667,1.0
19200,1.8843384,0.0,4.0,4.7572837,61.40208333333333,61.40208333333333,1.0
21600,1.8089432,0.0,4.0,7.022003,61.51875,61.51875,1.0
24000,1.74631,0.0,4.0,9.785401,61.64375,61.64375,1.0
26400,1.793139,0.0,4.0,12.806644,61.71666666666667,61.71666666666667,1.0
28800,1.7671633,0.0,4.0,16.581568,61.82083333333333,61.82083333333333,1.0
31200,1.7075218,0.0,4.0,19.683752,61.94583333333333,61.94583333333333,1.0
33600,1.6750743,0.0,4.0,22.47238,62.16458333333333,62.16458333333333,1.0
36000,1.6705163,0.0,4.0,24.748962,62.37083333333333,62.37083333333333,1.0
38400,1.6331795,0.0,4.0,26.020905,62.25833333333333,62.25833333333333,1.0
40800,1.4553573,0.0,4.0,26.978186,62.927083333333336,62.927083333333336,1.0
43200,1.206955,0.0,4.0,27.783968,63.60208333333333,63.60208333333333,1.0
45600,0.9316392,0.0,4.0,28.204456,64.45208333333333,64.45208333333333,1.0
48000,0.63646394,0.0,4.0,28.95521,65.13541666666667,65.13541666666667,1.0
50400,0.36481968,0.0,4.0,29.409294,65.78958333333334,65.78958333333334,1.0
52800,0.29189622,0.0,4.0,30.05467,65.91458333333334,65.91458333333334,1.0
55200,0.25252825,0.0,4.0,30.503885,65.93125,65.93125,1.0
57600,0.2549647,0.0,4.0,30.588518,65.98125,65.98125,1.0
60000,0.23838396,0.0,4.0,30.70044,65.9875,65.9875,1.0
62400,0.24166027,0.0,4.0,30.704275,65.99375,65.99375,1.0
64800,0.23042506,0.0,4.0,30.735819,65.98541666666667,65.98541666666667,1.0
67200,0.23178172,0.0,4.0,30.744722,65.99583333333334,65.99583333333334,1.0
69600,0.2393949,0.0,4.0,30.743702,65.99583333333334,65.99583333333334,1.0
72000,0.26113424,0.0,4.0,30.737272,65.9875,65.9875,1.0
74400,0.25449693,0.0,4.0,30.789705,65.99583333333334,65.99583333333334,1.0
76800,0.25253174,0.0,4.0,30.782747,66.0,66.0,1.0
79200,0.24122751,0.0,4.0,30.79306,65.99791666666667,65.99791666666667,1.0
81600,0.22895534,0.0,4.0,30.789799,65.99791666666667,65.99791666666667,1.0
84000,0.24908625,0.0,4.0,30.783781,65.99375,65.99375,1.0
