Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,2.5347266,0.0,4.254901960784314,-0.23085289,-107.45274725274726,-107.45274725274726,8323.808,0.081878126,0.00029876878,1.0
4800,2.108968,0.0,3.0,-0.5900693,-42.236666666666665,-42.236666666666665,6989.891,0.10609609,0.00029753763,1.0
7200,1.9591689,0.0,3.0,-0.75445235,16.538333333333334,16.538333333333334,2465.6824,0.076191284,0.00029630642,1.0
9600,1.8709812,0.0,3.0,-0.57867223,32.53666666666667,32.53666666666667,911.44354,0.07431295,0.0002950752,1.0
12000,1.8352424,0.0,3.0,-0.22285372,36.623333333333335,36.623333333333335,691.4516,0.07688886,0.00029384403,1.0
14400,1.7939795,0.0,3.0,0.1489612,37.575,37.575,613.0505,0.07387689,0.00029199722,1.0
16800,1.7075169,0.0,3.0,0.7406176,37.98166666666667,37.98166666666667,582.8232,0.06643755,0.0002901504,1.0
19200,1.6284931,0.0,3.0,1.3217434,37.93833333333333,37.93833333333333,699.40186,0.06765159,0.00028891923,1.0
21600,1.538396,0.3181818181818182,3.0,2.0793197,40.85666666666667,40.85666666666667,726.3982,0.07876649,0.00028768802,1.0
24000,1.3855511,2.014925373134328,3.0,3.0974195,45.60333333333333,45.60333333333333,1007.45557,0.07614386,0.0002864568,1.0
26400,1.1424451,5.522388059701493,3.0,4.4779277,56.70666666666666,56.70666666666666,1953.5944,0.08858202,0.00028522566,1.0
28800,0.7923693,17.651515151515152,3.0,6.530541,95.025,95.025,7496.4824,0.09598197,0.00028337885,1.0
31200,0.32864556,55.0,3.0,9.958282,188.59666666666666,188.59666666666666,24746.656,0.0743595,0.00028153203,1.0
33600,0.13537495,111.73134328358209,3.0,14.315946,225.52,225.52,30521.088,0.061141968,0.00028030082,1.0
36000,0.06316922,174.75757575757575,3.0,19.00889,237.15166666666667,237.15166666666667,30800.537,0.07477677,0.00027906962,1.0
38400,0.033100586,240.044776119403,3.0,24.006556,241.61666666666667,241.61666666666667,31070.475,0.06760466,0.00027783844,1.0
40800,0.024243826,306.2985074626866,3.0,29.260798,240.56666666666666,240.56666666666666,29776.383,0.053312182,0.00027660723,1.0
43200,0.016010735,372.5,3.0,35.011616,243.31333333333333,243.31333333333333,27653.648,0.069009624,0.00027476042,1.0
