Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,2.4524763,0.0,3.890909090909091,-0.4189845,-100.94274028629857,-100.94274028629857,8662.18,0.08643865,0.00029876342,1.0
4800,2.1357317,0.0,3.0,-0.9179974,-52.85166666666667,-52.85166666666667,7237.3804,0.08227355,0.0002975322,1.0
7200,2.0148244,0.0,3.0,-1.1038079,-3.4033333333333333,-3.4033333333333333,4150.9546,0.086001195,0.000296301,1.0
9600,1.903007,0.0,3.0,-1.0720105,26.468333333333334,26.468333333333334,1615.1875,0.06504368,0.0002950698,1.0
12000,1.8610318,0.0,3.0,-0.825756,35.18,35.18,807.59033,0.06901211,0.0002938386,1.0
14400,1.8435421,0.0,3.0,-0.5114837,36.51166666666666,36.51166666666666,549.7886,0.07248795,0.00029199178,1.0
16800,1.8293293,0.0,3.0,-0.15950541,37.07833333333333,37.07833333333333,506.51477,0.06689575,0.00029014502,1.0
19200,1.8013918,0.0,3.0,0.20299292,36.928333333333335,36.928333333333335,524.1429,0.060629155,0.0002889138,1.0
21600,1.7807072,0.0,3.0,0.6520496,37.25833333333333,37.25833333333333,437.47867,0.06263854,0.0002876826,1.0
24000,1.7585863,0.0,3.0,1.1665822,37.83166666666666,37.83166666666666,413.64136,0.07939851,0.00028645142,1.0
26400,1.7448556,0.0,3.0,1.8390353,38.336666666666666,38.336666666666666,387.6628,0.06356501,0.00028522022,1.0
28800,1.7501132,0.0,3.0,2.6367838,37.56333333333333,37.56333333333333,418.00378,0.06796059,0.0002833734,1.0
31200,1.7273442,0.0,3.0,3.4840775,37.34,37.34,329.01328,0.069483496,0.00028152662,1.0
33600,1.7095144,0.0,3.0,4.2958612,38.215,38.215,351.93118,0.056495685,0.0002802954,1.0
36000,1.7043897,0.0,3.0,5.2577353,38.225,38.225,216.81349,0.07025958,0.0002790642,1.0
38400,1.6865318,0.0,3.0,6.5163107,38.24666666666667,38.24666666666667,254.86613,0.06839145,0.00027783305,1.0
40800,1.6396161,0.0,3.0,7.7728257,38.365,38.365,169.52362,0.06579854,0.00027660184,1.0
43200,1.6168973,0.0,3.0,9.103076,38.446666666666665,38.446666666666665,97.66015,0.07208273,0.00027475503,1.0
45600,1.552977,0.0,3.0,10.745098,38.88666666666666,38.88666666666666,129.69844,0.07046812,0.00027290822,1.0
48000,1.5368015,0.0,3.0,12.180146,38.30166666666667,38.30166666666667,56.697174,0.063288815,0.000271677,1.0
50400,1.4940498,0.0,3.0,13.134716,39.44166666666667,39.44166666666667,164.21388,0.083561786,0.0002704458,1.0
52800,1.3789055,0.0,3.0,14.543444,39.733333333333334,39.733333333333334,15.125881,0.0628955,0.00026921462,1.0
55200,1.2547011,0.0,3.0,15.563594,39.97666666666667,39.97666666666667,217.29272,0.06804731,0.0002679834,1.0
57600,1.1948808,0.0,3.0,16.221312,42.20666666666666,42.20666666666666,315.70456,0.06530665,0.0002661366,1.0
60000,1.0200094,2.298507462686567,3.0,16.78359,44.70666666666666,44.70666666666666,555.2087,0.068145104,0.00026428982,1.0
62400,0.88937664,4.477611940298507,3.0,17.093363,49.81166666666667,49.81166666666667,1235.4329,0.075113736,0.0002630586,1.0
64800,0.7972064,7.621212121212121,3.0,17.38733,60.343333333333334,60.343333333333334,2268.1401,0.06002776,0.0002618274,1.0
67200,0.70471656,17.134328358208954,3.0,17.884356,77.585,77.585,4514.319,0.076253556,0.0002605962,1.0
69600,0.5551412,39.46268656716418,3.0,18.389565,111.20833333333333,111.20833333333333,8010.983,0.08523461,0.00025936498,1.0
72000,0.40193596,69.22727272727273,3.0,19.515606,148.00833333333333,148.00833333333333,15829.177,0.06946266,0.0002575182,1.0
74400,0.260057,108.13432835820896,3.0,21.01637,193.26166666666666,193.26166666666666,23860.57,0.07594015,0.00025567142,1.0
76800,0.1403323,160.86567164179104,3.0,23.412851,222.54333333333332,222.54333333333332,30035.37,0.079119615,0.0002544402,1.0
79200,0.09027794,220.71212121212122,3.0,26.903656,230.355,230.355,29556.639,0.066868894,0.00025320903,1.0
81600,0.051306196,284.3134328358209,3.0,30.660824,237.53333333333333,237.53333333333333,30033.547,0.08160076,0.00025197782,1.0
