Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,2.6574953,0.0,4.869565217391305,-0.6862978,-105.63300492610837,-105.63300492610837,6660.3696,0.08113521,0.000298758,1.0
4800,2.1372876,0.0,3.0,-1.0956606,-65.05666666666667,-65.05666666666667,8361.386,0.087302655,0.00029752683,1.0
7200,2.0165205,0.0,3.0,-1.243951,-1.78,-1.78,4054.4812,0.08209749,0.00029629562,1.0
9600,1.907331,0.0,3.0,-1.1858585,24.815,24.815,1599.6913,0.069579475,0.0002950644,1.0
12000,1.855569,0.0,3.0,-0.9402856,34.00333333333333,34.00333333333333,783.83374,0.05455181,0.00029383323,1.0
14400,1.8354189,0.0,3.0,-0.5869229,37.07333333333333,37.07333333333333,530.32056,0.06992636,0.00029198642,1.0
16800,1.8148193,0.0,3.0,-0.18271676,36.97,36.97,507.14917,0.064801194,0.0002901396,1.0
19200,1.8124117,0.0,3.0,0.17674252,36.0,36.0,588.0229,0.063798174,0.0002889084,1.0
21600,1.7845578,0.7313432835820896,3.0,0.6761187,37.86666666666667,37.86666666666667,637.80365,0.062410843,0.0002876772,1.0
24000,1.742043,1.0,3.0,1.2643563,38.516666666666666,38.516666666666666,468.02234,0.077704854,0.00028644598,1.0
26400,1.6917166,1.0,3.0,2.0247667,38.29,38.29,377.4484,0.06597909,0.00028521483,1.0
28800,1.6162207,1.0,3.0,3.0080554,38.925,38.925,356.55746,0.06240885,0.00028336802,1.0
31200,1.4949446,1.0,3.0,4.303118,38.233333333333334,38.233333333333334,272.98657,0.0583449,0.00028152124,1.0
33600,1.4298918,1.0,3.0,5.3004613,39.236666666666665,39.236666666666665,233.65001,0.06852659,0.00028029003,1.0
36000,1.3465737,1.0,3.0,6.5302396,39.24166666666667,39.24166666666667,269.17892,0.06588798,0.00027905882,1.0
38400,1.2412839,1.0,3.0,7.9891405,40.545,40.545,303.32455,0.07868806,0.00027782764,1.0
40800,1.131914,1.0,3.0,9.893304,39.8,39.8,327.40524,0.06417275,0.00027659643,1.0
43200,1.0127342,2.2388059701492535,3.0,11.383114,40.59,40.59,176.23799,0.064169474,0.00027474962,1.0
45600,0.8583792,4.611940298507463,3.0,13.14262,44.50833333333333,44.50833333333333,782.1382,0.07476723,0.00027290286,1.0
48000,0.77482486,5.106060606060606,3.0,14.318873,43.87833333333333,43.87833333333333,567.20404,0.06910131,0.00027167166,1.0
50400,0.69855356,7.701492537313433,3.0,15.666859,51.093333333333334,51.093333333333334,1259.4418,0.084455155,0.00027044045,1.0
52800,0.62865764,10.537313432835822,3.0,17.073933,67.69666666666667,67.69666666666667,1991.0137,0.073202305,0.00026920924,1.0
55200,0.55024546,21.818181818181817,3.0,17.767305,87.35333333333334,87.35333333333334,5611.4336,0.07463956,0.00026797803,1.0
57600,0.42065012,44.865671641791046,3.0,18.570557,129.49333333333334,129.49333333333334,11614.201,0.07764093,0.00026613125,1.0
60000,0.29878142,81.34328358208955,3.0,20.078913,168.18,168.18,19270.646,0.0736087,0.00026428443,1.0
62400,0.18885577,127.22727272727273,3.0,22.075563,203.54666666666665,203.54666666666665,23079.791,0.0854607,0.00026305323,1.0
64800,0.0998872,185.02985074626866,3.0,24.863264,231.04833333333335,231.04833333333335,28436.518,0.060593497,0.00026182205,1.0
