Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,2.3580234,0.0,3.542372881355932,0.36937848,-94.13282732447819,-94.13282732447819,8020.5293,0.078599215,0.00029876878,1.0
4800,2.137136,0.0,3.0,-0.13221794,-62.848333333333336,-62.848333333333336,7297.239,0.09120703,0.00029753763,1.0
7200,2.020028,0.0,3.0,-0.3343993,-1.0916666666666666,-1.0916666666666666,3721.3574,0.07624069,0.00029630642,1.0
9600,1.9160829,0.0,3.0,-0.35023627,25.6,25.6,1458.5568,0.06196986,0.0002950752,1.0
12000,1.8598968,0.0,3.0,-0.21417953,33.681666666666665,33.681666666666665,944.9509,0.054046948,0.00029384403,1.0
14400,1.8206661,0.0,3.0,0.0090035,36.20666666666666,36.20666666666666,653.3119,0.05541666,0.00029199722,1.0
16800,1.7998314,0.0,3.0,0.36681232,37.513333333333335,37.513333333333335,552.18304,0.07017515,0.0002901504,1.0
19200,1.7764353,0.0,3.0,0.8303143,37.84166666666667,37.84166666666667,413.94083,0.060351808,0.00028891923,1.0
21600,1.7821033,0.3939393939393939,3.0,1.3974426,37.748333333333335,37.748333333333335,414.48642,0.067054026,0.00028768802,1.0
24000,1.7697031,1.0,3.0,2.0033092,37.89833333333333,37.89833333333333,479.36288,0.06799163,0.0002864568,1.0
26400,1.7288598,1.0,3.0,2.8243973,38.901666666666664,38.901666666666664,484.56396,0.05361569,0.00028522566,1.0
28800,1.661093,1.0,3.0,3.973654,39.16833333333334,39.16833333333334,447.417,0.07934425,0.00028337885,1.0
31200,1.5856272,1.2985074626865671,3.0,5.2959642,38.733333333333334,38.733333333333334,369.01416,0.06813085,0.00028153203,1.0
33600,1.5029888,2.0,3.0,6.558031,40.473333333333336,40.473333333333336,382.48593,0.07889288,0.00028030082,1.0
36000,1.3827145,2.1363636363636362,3.0,8.163644,43.92666666666667,43.92666666666667,807.51953,0.06518295,0.00027906962,1.0
38400,1.219466,4.597014925373134,3.0,9.966949,50.32333333333333,50.32333333333333,1345.5721,0.07335363,0.00027783844,1.0
40800,1.0252613,13.029850746268657,3.0,12.240015,72.99333333333334,72.99333333333334,2415.8672,0.06955052,0.00027660723,1.0
43200,0.7762757,32.196969696969695,3.0,14.748906,99.06166666666667,99.06166666666667,7813.291,0.08406037,0.00027476042,1.0
45600,0.5174541,60.56716417910448,3.0,17.633438,130.685,130.685,12867.719,0.08169969,0.00027291363,1.0
48000,0.34086388,98.85074626865672,3.0,19.340914,181.56666666666666,181.56666666666666,18928.275,0.067884676,0.00027168242,1.0
50400,0.1780141,147.54545454545453,3.0,21.967867,215.665,215.665,23519.947,0.063784055,0.00027045122,1.0
52800,0.0930837,205.46268656716418,3.0,25.459951,229.30833333333334,229.30833333333334,26696.31,0.07382393,0.00026922,1.0
55200,0.053496078,268.910447761194,3.0,29.48531,233.405,233.405,25802.521,0.067380965,0.0002679888,1.0
57600,0.028595895,333.7121212121212,3.0,33.79136,241.26166666666666,241.26166666666666,25598.727,0.070907354,0.000266142,1.0
60000,0.025537604,399.4776119402985,3.0,39.802013,241.93333333333334,241.93333333333334,24243.0,0.074589126,0.00026429523,1.0
