Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.544194,96.52,0.004593588691204786,0.16,0.08,-0.15347661,-84.87605285644531,-84.87605285644531,90.82961,0.07629255,0.00029871424,1.0
4800,5.542767,135.22222222222223,0.0031014113693446335,0.3888888888888889,0.1111111111111111,-0.7936057,-118.30037334230211,-118.30037334230211,98.38938,0.07257606,0.0002974722,1.0
7200,5.5395765,97.5,0.004920571920988353,0.4782608695652174,0.043478260869565216,-1.5072603,-89.8901594877243,-89.8901594877243,96.94375,0.07429184,0.00029610598,1.0
9600,5.529048,111.5,0.0039338307396974415,0.55,0.0,-2.774583,-102.44757097417659,-102.44757097417659,87.98072,0.059819806,0.0002948556,1.0
12000,5.518948,85.22222222222223,0.004925931754297818,0.7037037037037037,0.07407407407407407,-3.6804044,-80.81388024930601,-80.81388024930601,82.96299,0.075338185,0.00029360704,1.0
14400,5.499353,85.10714285714286,0.00713017831171433,0.8461538461538461,0.07692307692307693,-3.9857132,-74.25066985755132,-74.25066985755132,84.89484,0.06571787,0.0002923434,1.0
16800,5.484202,54.51219512195122,0.011979893679381348,1.55,0.1,-4.802475,-50.48431602338465,-50.48431602338465,73.61385,0.07637273,0.00029108583,1.0
19200,5.483148,84.96428571428571,0.01229896635265538,1.7037037037037037,0.07407407407407407,-6.020268,-75.5890839610781,-75.5890839610781,69.91024,0.083509386,0.0002891391,1.0
21600,5.4566264,60.02564102564103,0.009163897870374577,1.5142857142857142,0.0,-6.826519,-49.29952274560928,-49.29952274560928,55.20586,0.07435614,0.00028725722,1.0
24000,5.401698,44.660377358490564,0.017070260542900638,1.8297872340425532,0.0425531914893617,-6.9642315,-39.23480400049461,-39.23480400049461,52.990147,0.08006258,0.0002860206,1.0
26400,5.3675294,38.29032258064516,0.0145459550609491,2.3275862068965516,0.05172413793103448,-7.3891816,-31.133482056279338,-31.133482056279338,50.20886,0.079788856,0.0002847906,1.0
28800,5.3229237,40.785714285714285,0.019309283915693715,2.375,0.0,-7.8047414,-36.16064149354185,-36.16064149354185,54.180126,0.09461954,0.00028354503,1.0
31200,5.290839,32.04054054054054,0.020818927219806938,2.578125,0.046875,-8.380856,-25.50766295677907,-25.50766295677907,39.238808,0.08485043,0.00028228862,1.0
33600,5.239222,35.353846153846156,0.016750858832771578,3.3,0.03333333333333333,-8.768967,-28.623128879987277,-28.623128879987277,36.81085,0.07444911,0.00028105802,1.0
36000,5.1766195,25.22826086956522,0.025850524293491616,3.6,0.05,-8.494802,-19.591429172650628,-19.591429172650628,36.604675,0.0738847,0.0002791839,1.0
38400,5.077663,20.07017543859649,0.029694945334499193,3.977272727272727,0.06818181818181818,-8.214208,-14.802239415938395,-14.802239415938395,26.172922,0.06764078,0.00027732784,1.0
40800,4.959503,13.968944099378882,0.03726695333219444,4.966666666666667,0.03333333333333333,-8.31247,-10.046962636968363,-10.046962636968363,27.03121,0.07361937,0.00027608103,1.0
43200,4.862215,14.09433962264151,0.04101576041802764,5.984,0.072,-8.014444,-9.300886807201794,-9.300886807201794,29.25083,0.07828405,0.00027485102,1.0
45600,4.6992836,11.213197969543147,0.050407993117593884,8.235294117647058,0.11029411764705882,-7.564882,-6.51210506978979,-6.51210506978979,32.539616,0.08586892,0.00027360301,1.0
48000,4.501995,8.817427385892117,0.05324513223977425,10.025641025641026,0.11538461538461539,-7.3394485,-4.166566109261572,-4.166566109261572,19.110777,0.07596164,0.00027235682,1.0
50400,4.335453,8.392156862745098,0.05758292067861348,12.982456140350877,0.08771929824561403,-7.195213,-3.7384020141526766,-3.7384020141526766,23.409046,0.081735685,0.00027049953,1.0
52800,4.079736,6.694533762057878,0.05981515649197258,15.536082474226804,0.0979381443298969,-6.748356,-1.6182060501514337,-1.6182060501514337,25.468653,0.08487251,0.00026864346,1.0
55200,3.8220847,5.997093023255814,0.06494066352024674,19.805,0.085,-6.659992,-0.6441538110375404,-0.6441538110375404,24.538544,0.078019254,0.00026741403,1.0
57600,3.566577,5.053030303030303,0.07461853143151688,24.396135265700483,0.1497584541062802,-5.961682,0.1590531488008137,0.1590531488008137,22.99356,0.07431514,0.0002661762,1.0
60000,3.300482,4.473684210526316,0.07773649290412943,31.33644859813084,0.16822429906542055,-5.309583,1.0768493221126547,1.0768493221126547,24.273348,0.0840924,0.00026494684,1.0
62400,3.098082,3.9669421487603307,0.08103741053092121,39.66523605150215,0.22317596566523606,-4.50241,2.183103643911929,2.183103643911929,22.693047,0.06707803,0.0002637114,1.0
64800,2.829704,3.7221135029354206,0.08344537740492303,55.06956521739131,0.27391304347826084,-3.8493466,2.9672307180464856,2.9672307180464856,22.562248,0.08403233,0.00026185592,1.0
67200,2.756315,3.8952772073921973,0.08630633624112707,67.69067796610169,0.2584745762711864,-3.389659,3.083741177709735,3.083741177709735,19.930056,0.083266884,0.00026000405,1.0
69600,2.462821,3.157167530224525,0.08895607108631766,85.67871485943775,0.3092369477911647,-2.5655072,4.394742440477348,4.394742440477348,23.483719,0.075742796,0.0002587722,1.0
72000,2.325778,3.1293103448275863,0.09079007491874645,106.38493723849372,0.3723849372384937,-1.7541207,5.050727845779781,5.050727845779781,22.717325,0.06897501,0.00025753863,1.0
74400,2.2243755,3.043918918918919,0.09107811934491883,130.06072874493927,0.3522267206477733,-1.3082286,5.464828211450416,5.464828211450416,25.158625,0.068443604,0.00025630623,1.0
76800,2.1414547,3.1241379310344826,0.09184565700742663,157.13469387755103,0.40816326530612246,-0.8062946,5.518198573856059,5.518198573856059,22.131302,0.06974838,0.0002550714,1.0
79200,2.1137657,3.24070796460177,0.09127693911516127,177.68312757201647,0.3662551440329218,-0.34163657,5.09096762897275,5.09096762897275,16.10497,0.06692973,0.00025322405,1.0
81600,2.020525,3.1166380789022297,0.09151207865029573,201.284,0.324,0.09529469,5.375103521347046,5.375103521347046,13.836755,0.075269625,0.00025137185,1.0
84000,1.9221314,3.038655462184874,0.09340958438875262,224.56611570247935,0.384297520661157,0.569882,5.80875177325223,5.80875177325223,14.95275,0.06683001,0.00025014242,1.0
86400,1.8722776,2.9916805324459235,0.09408501268083615,250.3373015873016,0.36904761904761907,0.863578,5.58812891524564,5.58812891524564,11.411067,0.06738969,0.00024891002,1.0
88800,1.7991724,2.8171701112877585,0.09463934026995804,276.2633744855967,0.4403292181069959,1.4358687,6.075230724693675,6.075230724693675,11.854161,0.0809324,0.00024767758,1.0
91200,1.7699194,2.8079365079365077,0.09604226577892361,306.4457831325301,0.46586345381526106,1.6875491,6.229012685674656,6.229012685674656,10.22616,0.07957226,0.00024644283,1.0
93600,1.7011838,2.772870662460568,0.0951380208579905,335.7410358565737,0.4262948207171315,1.9576294,6.4003972825102915,6.4003972825102915,12.244272,0.077769,0.00024459872,1.0
96000,1.7286546,3.0234113712374584,0.0945446840673685,363.744,0.424,2.0019348,6.0427129533886905,6.0427129533886905,10.154094,0.066878565,0.00024275343,1.0
98400,1.6620128,2.9344262295081966,0.09598010120492789,389.91129032258067,0.38306451612903225,2.19349,6.317679491732116,6.317679491732116,9.649726,0.070226096,0.00024152045,1.0
100800,1.4970129,2.6881720430107525,0.09587711157898109,420.75396825396825,0.5317460317460317,3.0170014,7.1916996198498895,7.1916996198498895,15.317088,0.08026142,0.00024028505,1.0
103200,1.5144876,2.7645211930926217,0.09618866679618558,458.8844621513944,0.4900398406374502,3.1883056,7.153930511407344,7.153930511407344,14.067418,0.08107928,0.00023905386,1.0
105600,1.5292084,2.858064516129032,0.09641059428757551,490.7551020408163,0.44081632653061226,2.8479877,6.740988695679079,6.740988695679079,11.579013,0.07291026,0.00023782086,1.0
108000,1.4304254,2.753125,0.09683323890391377,521.6451612903226,0.4798387096774194,3.376886,7.2144864443689585,7.2144864443689585,12.595244,0.059054244,0.00023596715,1.0
110400,1.4141502,2.6794478527607364,0.09680993762247417,557.9020408163266,0.5142857142857142,3.7529225,7.577140406048371,7.577140406048371,13.958278,0.07276065,0.00023411763,1.0
112800,1.5307558,2.880064829821718,0.09549642541986916,593.2411067193676,0.4505928853754941,3.755739,7.0251003849082005,7.0251003849082005,8.447074,0.062468965,0.00023288584,1.0
115200,1.5158277,2.8754045307443366,0.09546686429901427,623.9123505976096,0.450199203187251,4.027317,7.20806678562395,7.20806678562395,7.1510644,0.055411536,0.00023165527,1.0
