Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.5439863,99.41666666666667,0.0062326089398044605,0.08695652173913043,0.043478260869565216,-0.15802717,-143.76646394314974,-143.76646394314974,688.83057,0.08996093,0.0002987292,1.0
4800,5.54267,103.2,0.0036783538525924087,0.2,0.0,-0.5642821,-114.1801261138916,-114.1801261138916,546.64374,0.06724712,0.000297498,1.0
7200,5.5381155,105.61904761904762,0.0037615222584766648,0.4444444444444444,0.05555555555555555,-0.827473,-124.54637772696358,-124.54637772696358,312.19473,0.07101241,0.00029616483,1.0
9600,5.532634,90.96153846153847,0.008843145967451468,0.5,0.125,-1.556678,-124.6966081399184,-124.6966081399184,471.71753,0.058081534,0.00029492218,1.0
12000,5.523959,98.20833333333333,0.005627288882944571,1.2608695652173914,0.21739130434782608,-1.9537048,-102.8695588906606,-102.8695588906606,526.0495,0.08130688,0.0002936316,1.0
14400,5.5286117,90.88888888888889,0.007452551266536689,1.2307692307692308,0.11538461538461539,-2.61144,-113.38161740479646,-113.38161740479646,524.35297,0.05716862,0.00029236684,1.0
16800,5.5211034,125.84210526315789,0.008785065334652446,1.7777777777777777,0.05555555555555555,-2.838826,-132.52253602680406,-132.52253602680406,327.31882,0.059127342,0.0002910924,1.0
19200,5.51621,86.88461538461539,0.010235245728399605,2.04,0.2,-3.0852034,-88.28105332301213,-88.28105332301213,340.08337,0.0691711,0.00028920692,1.0
21600,5.5106177,152.0,0.00306891743093729,2.1333333333333333,0.0,-4.28825,-151.14379560947418,-151.14379560947418,179.20093,0.061841067,0.000287313,1.0
24000,5.4791613,114.76190476190476,0.005718885670648888,3.2,0.2,-4.5569053,-83.03332183474586,-83.03332183474586,309.9676,0.06860268,0.00028604703,1.0
26400,5.4876122,137.05882352941177,0.009386849389557028,3.1875,0.0625,-5.3504963,-133.59938531763413,-133.59938531763413,240.37267,0.06364607,0.00028472042,1.0
28800,5.4955196,102.375,0.012695103168620594,2.4761904761904763,0.0,-4.9300165,-115.47466164827347,-115.47466164827347,244.91817,0.07993469,0.0002832966,1.0
31200,5.492436,106.18181818181819,0.015508935455000029,3.7,0.25,-5.158641,-83.73038114200939,-83.73038114200939,332.19775,0.06325834,0.0002819424,1.0
33600,5.4969034,106.43478260869566,0.007072908166182143,4.090909090909091,0.045454545454545456,-6.7382298,-127.33733532645486,-127.33733532645486,205.66797,0.06573478,0.00028066683,1.0
36000,5.462991,78.55172413793103,0.011337177474694005,3.586206896551724,0.034482758620689655,-5.9872713,-71.78902448018393,-71.78902448018393,463.6162,0.06626745,0.00027942003,1.0
38400,5.464873,94.92,0.014965116735547781,4.32,0.08,-6.990825,-95.57287062168122,-95.57287062168122,319.2684,0.06354617,0.00027817322,1.0
40800,5.4605308,110.17391304347827,0.012202902234011244,4.7272727272727275,0.22727272727272727,-5.608334,-99.92324744100156,-99.92324744100156,297.0072,0.072005235,0.0002762694,1.0
43200,5.440493,113.9,0.01138868456131176,5.294117647058823,0.058823529411764705,-7.507653,-75.08244173526764,-75.08244173526764,204.779,0.05598807,0.00027437278,1.0
45600,5.4300737,70.51515151515152,0.012028177945467178,4.65625,0.0625,-7.2307425,-64.8169488509496,-64.8169488509496,148.21141,0.06954355,0.0002730918,1.0
48000,5.4367685,130.21052631578948,0.007754596847328632,4.647058823529412,0.17647058823529413,-8.290208,-122.46863847029836,-122.46863847029836,303.45847,0.0657456,0.0002716632,1.0
50400,5.423463,71.06666666666666,0.014878898317090654,5.379310344827586,0.10344827586206896,-8.148829,-47.29656593261227,-47.29656593261227,185.09395,0.074961565,0.00027040925,1.0
52800,5.4153547,82.93548387096774,0.013140216283500195,3.2666666666666666,0.03333333333333333,-8.385415,-57.087505489587784,-57.087505489587784,156.5166,0.06828659,0.0002690892,1.0
55200,5.3724775,94.1304347826087,0.018770975361922352,4.3478260869565215,0.043478260869565216,-7.4398007,-57.33353281021118,-57.33353281021118,119.73639,0.07020689,0.00026782803,1.0
57600,5.359103,49.25,0.03229878782506355,5.818181818181818,0.20454545454545456,-6.539577,-25.602119480570156,-25.602119480570156,110.763695,0.06675742,0.000266559,1.0
60000,5.379881,95.0,0.02023514894923816,7.666666666666667,0.06666666666666667,-8.331306,-53.715780385335286,-53.715780385335286,85.62024,0.078741804,0.00026470714,1.0
62400,5.333314,73.33333333333333,0.03384936651924536,10.214285714285714,0.16666666666666666,-7.261223,-43.403587664498225,-43.403587664498225,133.80696,0.07889535,0.00026284263,1.0
64800,5.293963,32.09722222222222,0.03413492741270198,9.380952380952381,0.12698412698412698,-6.4532566,-3.7051876733700433,-3.7051876733700433,172.79796,0.06974528,0.00026160662,1.0
67200,5.2939134,69.32352941176471,0.03240714004452996,9.11111111111111,0.18518518518518517,-7.7930336,-32.69652743050546,-32.69652743050546,123.82222,0.071877226,0.00025991703,1.0
69600,5.232977,40.48275862068966,0.03855365579582605,9.784313725490197,0.1568627450980392,-5.924418,-3.0518927533747786,-3.0518927533747786,145.56812,0.07519962,0.00025857543,1.0
72000,5.1574087,25.692307692307693,0.035259534933720714,11.45,0.125,-6.28057,8.419538570774925,8.419538570774925,197.2107,0.06219515,0.00025730403,1.0
74400,5.1517124,28.88607594936709,0.042431861389724705,14.136363636363637,0.24242424242424243,-6.079149,6.995515501499176,6.995515501499176,132.43182,0.07645518,0.00025605244,1.0
