Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.544439,207.91666666666666,0.0037294211118326834,0.0,0.0,0.008481054,-138.76213212446734,-138.76213212446734,173.2689,0.06811375,0.00029871962,1.0
4800,5.5433397,129.83333333333334,0.003946518363793277,0.0,0.0,-0.7294289,-139.00042046440973,-139.00042046440973,221.17827,0.06683356,0.0002974422,1.0
7200,5.5404816,122.26315789473684,0.00451553916240013,0.0,0.0,-1.2712908,-128.65270273309005,-128.65270273309005,225.3242,0.08279864,0.00029617202,1.0
9600,5.5365224,101.33333333333333,0.005162113214559529,0.0,0.0,-1.9994777,-102.23659229278564,-102.23659229278564,209.66876,0.08198556,0.0002949234,1.0
12000,5.5312676,89.34615384615384,0.006381621414523882,0.0,0.0,-2.851688,-88.03062145526593,-88.03062145526593,198.57214,0.07541687,0.000293604,1.0
14400,5.505916,77.0,0.007575181409871827,0.0,0.0,-3.854735,-73.75808122081142,-73.75808122081142,181.90527,0.07300098,0.0002923338,1.0
16800,5.4895763,57.26829268292683,0.008650943093622724,0.0,0.0,-4.7994137,-62.011173480894506,-62.011173480894506,167.249,0.080045156,0.00029109663,1.0
19200,5.448289,43.75925925925926,0.013801345165120438,0.0,0.0,-5.891432,-42.38161427444882,-42.38161427444882,115.7392,0.06930041,0.0002891703,1.0
21600,5.3745303,32.342465753424655,0.017017627758304437,0.0,0.0,-6.809947,-30.241699755191803,-30.241699755191803,77.49057,0.06930596,0.0002872812,1.0
24000,5.2957783,22.554455445544555,0.022685582350407327,0.0,0.0,-7.435,-20.467943509817122,-20.467943509817122,48.03239,0.0586887,0.0002860362,1.0
26400,5.1615725,17.294573643410853,0.028549766459624575,0.0,0.0,-7.5815167,-14.622132157551423,-14.622132157551423,29.496634,0.07704127,0.00028479422,1.0
28800,4.9802704,12.804597701149426,0.036491259031238094,0.0,0.0,-7.744007,-9.784953487330469,-9.784953487330469,22.16925,0.094473146,0.00028355222,1.0
31200,4.686761,8.847736625514404,0.04739559423064858,0.0,0.0,-7.8010764,-5.57676921754217,-5.57676921754217,16.231352,0.074647054,0.00028232043,1.0
33600,4.281006,6.546296296296297,0.06018365029441683,0.0,0.0,-7.476768,-3.126895223130187,-3.126895223130187,17.395227,0.08482765,0.0002804718,1.0
36000,3.8074448,4.997455470737913,0.07135016920843294,0.0,0.0,-6.673114,-1.436353874206543,-1.436353874206543,19.983301,0.07249371,0.0002786238,1.0
38400,3.390892,4.265934065934066,0.0803366795081996,0.0,0.0,-5.85098,-0.621209548331879,-0.621209548331879,15.904054,0.079471834,0.00027739082,1.0
40800,3.0769212,3.8464646464646464,0.08590026628305984,0.0,0.0,-5.0851054,-0.1401091597733959,-0.1401091597733959,14.2797165,0.07790717,0.00027614998,1.0
43200,2.8900878,3.657587548638132,0.08844542006651561,0.0,0.0,-4.369459,0.07033864410178176,0.07033864410178176,10.746811,0.07333665,0.00027491341,1.0
45600,2.7259326,3.522727272727273,0.09057714102719618,0.0,0.0,-3.7865822,0.21314391280120273,0.21314391280120273,7.849632,0.06716282,0.00027367446,1.0
48000,2.6146183,3.3883847549909256,0.093046424419436,0.0,0.0,-3.2815905,0.38190025134678307,0.38190025134678307,5.1627855,0.06533441,0.00027182553,1.0
50400,2.5225651,3.3236363636363637,0.09458095331490039,0.0,0.0,-2.7920547,0.4332509288288626,0.4332509288288626,3.1274977,0.07061436,0.00026997962,1.0
52800,2.460921,3.292114695340502,0.09509356154840652,0.0,0.0,-2.3466375,0.4757354007850606,0.4757354007850606,2.111782,0.07269073,0.00026874963,1.0
55200,2.3465056,3.219298245614035,0.09613778397868403,0.0,0.0,-2.037783,0.5538907887018,0.5538907887018,1.4553374,0.05795252,0.00026751726,1.0
57600,2.291068,3.192982456140351,0.0970114953815937,0.0,0.0,-1.7282348,0.5843898593545793,0.5843898593545793,1.0091223,0.077894695,0.00026628783,1.0
