Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.543919,89.55555555555556,0.0032387608617472532,0.3076923076923077,0.11538461538461539,0.05911114,-101.2869486441979,-101.2869486441979,316.72595,0.07509174,0.0002987208,1.0
4800,5.541557,96.07692307692308,0.004273947619367391,0.28,0.04,-0.3138014,-112.32653038318341,-112.32653038318341,478.53946,0.070645526,0.00029746626,1.0
7200,5.542893,101.9090909090909,0.005723897337080224,0.8421052631578947,0.05263157894736842,-0.8984864,-141.851273445856,-141.851273445856,644.7372,0.07113535,0.000296214,1.0
9600,5.540082,99.33333333333333,0.008184657060116044,0.6521739130434783,0.08695652173913043,-1.1616962,-132.92903111457824,-132.92903111457824,503.2225,0.069937296,0.00029494683,1.0
12000,5.5397434,116.73913043478261,0.003701428669349601,1.1428571428571428,0.09523809523809523,-1.1991407,-112.78678570622984,-112.78678570622984,457.22153,0.06271959,0.00029371746,1.0
14400,5.5391593,111.52631578947368,0.005648179243220703,1.0,0.0,-1.6558352,-135.6558508622019,-135.6558508622019,292.55453,0.06223634,0.0002923884,1.0
16800,5.5363584,129.5,0.004066392193849692,1.4705882352941178,0.058823529411764705,-2.0289147,-126.03502231174045,-126.03502231174045,410.44348,0.056680173,0.00029112722,1.0
19200,5.5310407,115.66666666666667,0.0057203248172299935,1.6,0.05,-2.1619434,-181.8009441012428,-181.8009441012428,279.86618,0.05187154,0.00028975864,1.0
21600,5.5284243,111.64,0.00875514387851581,1.84,0.12,-2.5135798,-94.21477691650391,-94.21477691650391,580.0521,0.0634622,0.00028778342,1.0
24000,5.5272136,95.65,0.0049807485438099035,2.5789473684210527,0.05263157894736842,-2.4542942,-97.00112533569336,-97.00112533569336,170.00348,0.06688987,0.00028588923,1.0
26400,5.5218782,92.3076923076923,0.004366669454611838,2.4615384615384617,0.07692307692307693,-3.1201985,-114.11034881151639,-114.11034881151639,428.9105,0.05416329,0.0002846094,1.0
28800,5.521945,83.7,0.006244553685454386,2.392857142857143,0.10714285714285714,-3.807292,-108.76331322193145,-108.76331322193145,523.31366,0.07234918,0.0002833548,1.0
31200,5.5187917,106.28571428571429,0.009494576309072343,1.5789473684210527,0.10526315789473684,-4.070967,-104.73165807269868,-104.73165807269868,479.99023,0.0674157,0.00028201018,1.0
33600,5.5113893,105.68181818181819,0.015169229146770456,2.909090909090909,0.09090909090909091,-3.3383386,-112.05635656010021,-112.05635656010021,371.54688,0.069682725,0.000280695,1.0
36000,5.522637,152.75,0.005400428082793951,3.4,0.13333333333333333,-4.840293,-127.08717489242554,-127.08717489242554,255.44751,0.06660762,0.00027946322,1.0
38400,5.5195074,105.77272727272727,0.0064474158941514115,3.272727272727273,0.0,-4.9969373,-116.52187975970182,-116.52187975970182,92.41136,0.0815729,0.000278001,1.0
40800,5.5152483,106.52173913043478,0.010517904404661663,3.1904761904761907,0.0,-4.895273,-90.18165673898613,-90.18165673898613,343.7631,0.064404435,0.000276753,1.0
43200,5.5036864,77.93333333333334,0.013633967556026099,3.4285714285714284,0.14285714285714285,-4.9984155,-75.53181128501892,-75.53181128501892,256.60883,0.06931878,0.0002748444,1.0
45600,5.5016994,97.125,0.011616123949352186,3.7916666666666665,0.041666666666666664,-5.356823,-95.02629392345746,-95.02629392345746,244.30963,0.069580786,0.00027297184,1.0
48000,5.4974475,59.95,0.019970337661154764,4.184210526315789,0.13157894736842105,-5.301802,-29.833928179740905,-29.833928179740905,147.15489,0.059313986,0.00027171723,1.0
50400,5.4974704,130.16666666666666,0.010306380692377893,3.888888888888889,0.05555555555555555,-7.262801,-114.2348246441947,-114.2348246441947,137.3742,0.06718801,0.00027030124,1.0
52800,5.495832,104.91304347826087,0.010037964855490083,3.909090909090909,0.045454545454545456,-6.178301,-93.62975547624671,-93.62975547624671,216.36975,0.06646375,0.00026892664,1.0
55200,5.477041,94.4,0.012566891159319008,4.791666666666667,0.16666666666666666,-6.036768,-82.00301220019658,-82.00301220019658,326.02502,0.07060606,0.000267513,1.0
57600,5.4885173,74.53125,0.014314430544242984,5.548387096774194,0.0967741935483871,-5.9810295,-56.38899860960065,-56.38899860960065,331.71378,0.0529007,0.00026626323,1.0
60000,5.4804583,111.04347826086956,0.01802145557964898,5.0,0.18181818181818182,-5.7644014,-99.66256382248618,-99.66256382248618,260.36044,0.05980997,0.0002648796,1.0
62400,5.477281,71.76666666666667,0.014493730774245643,5.275862068965517,0.034482758620689655,-6.238582,-44.83029157884659,-44.83029157884659,199.22136,0.06881407,0.0002635944,1.0
64800,5.464474,80.25806451612904,0.015417025555976696,7.258064516129032,0.16129032258064516,-6.4737196,-56.82419693854548,-56.82419693854548,164.69716,0.06452646,0.00026230022,1.0
67200,5.456385,104.45454545454545,0.024316901441621172,7.2727272727272725,0.13636363636363635,-5.5147104,-83.50493042809623,-83.50493042809623,179.57875,0.062758826,0.00026040844,1.0
69600,5.4242187,47.714285714285715,0.025416808906528685,6.444444444444445,0.1111111111111111,-5.556237,-26.869797143936157,-26.869797143936157,138.16331,0.05948192,0.00025830543,1.0
72000,5.431306,49.208333333333336,0.029275650378126142,8.113636363636363,0.06818181818181818,-6.286703,-27.106818199157715,-27.106818199157715,241.62141,0.06984955,0.00025699806,1.0
74400,5.4131594,38.65573770491803,0.03347308884366174,7.2407407407407405,0.14814814814814814,-5.6876497,-17.880461827653352,-17.880461827653352,299.6423,0.060335904,0.00025576563,1.0
76800,5.4022384,55.333333333333336,0.02658592686182945,9.64864864864865,0.10810810810810811,-6.2524776,-21.298980948536894,-21.298980948536894,143.72398,0.068053655,0.00025446783,1.0
79200,5.387715,40.74576271186441,0.04414854538809581,9.803921568627452,0.13725490196078433,-5.3002987,-14.512326067891614,-14.512326067891614,199.50851,0.06183347,0.00025311546,1.0
81600,5.367274,30.609756097560975,0.04051168993942495,12.582089552238806,0.1044776119402985,-5.0815697,-4.670944347439042,-4.670944347439042,171.52045,0.07186641,0.0002518116,1.0
84000,5.2762256,23.21978021978022,0.043104136792047845,12.506493506493506,0.18181818181818182,-4.8438234,2.327757708318941,2.327757708318941,138.65608,0.067101575,0.00025055584,1.0
86400,5.3173857,33.791044776119406,0.047244264542142735,15.11320754716981,0.3018867924528302,-5.1009393,2.0765368831691458,2.0765368831691458,124.82103,0.07553727,0.00024912303,1.0
88800,5.2906823,23.649484536082475,0.04427192198276958,16.91764705882353,0.2235294117647059,-5.627259,7.05785920098424,7.05785920098424,157.3476,0.05660513,0.00024788643,1.0
91200,5.2773876,23.68041237113402,0.03803750152222901,18.916666666666668,0.15476190476190477,-5.2341743,6.924862606356842,6.924862606356842,178.11969,0.063654825,0.00024600903,1.0
93600,5.2732973,24.38144329896907,0.04623876642783697,20.666666666666668,0.1724137931034483,-4.467046,7.422312998041814,7.422312998041814,275.01614,0.07361067,0.00024412265,1.0
96000,5.2265882,22.606060606060606,0.04643786018401975,23.170731707317074,0.2073170731707317,-5.2374735,3.573408533828427,3.573408533828427,175.0125,0.0744861,0.00024285905,1.0
98400,5.2171693,23.97087378640777,0.04759177322604603,24.967741935483872,0.3010752688172043,-4.390001,7.889783040991107,7.889783040991107,588.8405,0.0502643,0.00024159544,1.0
100800,5.044827,15.00709219858156,0.0563728694671577,30.98165137614679,0.30275229357798167,-3.537791,19.80674049871188,19.80674049871188,148.61201,0.07125852,0.00024035283,1.0
103200,5.0441475,14.380645161290323,0.05323546612240627,35.059322033898304,0.2457627118644068,-3.6409748,22.05425467183513,22.05425467183513,326.7396,0.078765586,0.00023911866,1.0
105600,4.9567904,12.822857142857142,0.052323041792476065,43.162962962962965,0.2962962962962963,-2.7535558,25.964045004348534,25.964045004348534,222.22043,0.07384802,0.00023726883,1.0
108000,4.808126,9.817351598173516,0.05788664340174624,45.51700680272109,0.29931972789115646,-2.1785471,24.61668392867524,24.61668392867524,320.53482,0.07822647,0.00023534107,1.0
110400,4.700983,8.925619834710744,0.06050712703727186,54.875,0.275,-1.5030571,25.961219812126316,25.961219812126316,393.45642,0.058212638,0.00023409784,1.0
112800,4.726002,10.290816326530612,0.058962669431369887,64.52592592592593,0.3037037037037037,-0.8108419,33.50803821721924,33.50803821721924,343.60892,0.07715906,0.00023283485,1.0
115200,4.6684294,8.781376518218623,0.06340115101628764,70.03592814371258,0.2994011976047904,-1.3364339,27.14289171975634,27.14289171975634,446.1564,0.08146622,0.00023160303,1.0
117600,4.300673,5.790368271954674,0.06843877014600569,75.30555555555556,0.28703703703703703,0.29564536,33.640951336440395,33.640951336440395,371.09814,0.082700916,0.00023037185,1.0
120000,4.207974,5.495384615384616,0.0711996003895277,88.8763440860215,0.3387096774193548,0.6607235,31.91022392632305,31.91022392632305,351.17953,0.075696565,0.00022913165,1.0
