Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2400,5.544492,259.0,0.004552231985144317,0.0,0.0,0.03425896,-108.60378222995334,-108.60378222995334,1.0
4800,5.54442,113.5,0.004476279944784063,0.0,0.0,0.06538494,-120.39258403778076,-120.39258403778076,1.0
7200,5.5447206,156.4,0.0037934463704004883,0.0,0.0,-0.012477524,-153.11353556315103,-153.11353556315103,1.0
9600,5.544788,127.4,0.0047247807844541965,0.0,0.0,-0.05790519,-127.97629871368409,-127.97629871368409,1.0
12000,5.209858,118.0,0.0066810958530931245,0.0,0.0,-0.04938777,-117.47603786559333,-117.47603786559333,1.0
14400,4.879299,206.54545454545453,0.004369143253742633,0.0,0.0,-0.65689343,-207.86000165072355,-207.86000165072355,1.0
16800,5.054805,473.8,0.004776867432519793,0.0,0.0,-1.0953434,-257.9199466705322,-257.9199466705322,1.0
19200,5.1066675,233.0,0.01627730327891186,0.0,0.0,-1.5844822,-444.888579249382,-444.888579249382,1.0
21600,5.1799345,None,None,None,None,-2.0220032,-581.6966552734375,-581.6966552734375,1.0
24000,5.066979,491.3,0.019331101792340634,0.0,0.0,-1.69806,-235.51704025268555,-235.51704025268555,1.0
26400,2.7573352,444.57142857142856,0.007884975464548916,0.0,0.0,-2.4509768,-557.3029052189419,-557.3029052189419,1.0
28800,3.3834124,139.3,0.020989231893327086,0.0,0.0,-1.7202092,-296.44559393326443,-296.44559393326443,1.0
31200,3.1317728,261.6666666666667,0.06051865156769054,0.0,0.0,-2.597396,-800.9475402832031,-800.9475402832031,1.0
33600,3.358224,145.96,0.07559108675463665,0.0,0.0,-1.6470554,-269.01538163026174,-269.01538163026174,1.0
36000,3.3759744,56.18,0.058754211047351804,0.0,0.0,-1.3258476,-45.967743618147715,-45.967743618147715,1.0
38400,4.4488463,23.518072289156628,0.039538949218900006,0.0,0.0,-1.5948768,-13.4219970532826,-13.4219970532826,1.0
40800,0.74161476,5.432941176470588,0.09954474242097074,0.0,0.0,-0.69501495,-3.247984634026986,-3.247984634026986,1.0
43200,0.7965726,3.0,0.10000000149011612,0.0,0.0,-0.6622941,0.7999992370605469,0.7999992370605469,1.0
45600,0.81089383,3.001658374792703,0.0999004989862442,0.0,0.0,-0.669464,0.7981659038861593,0.7981659038861593,1.0
48000,0.9656783,3.0,0.10000000149011612,0.0,0.0,-0.672987,0.7999992370605469,0.7999992370605469,1.0
50400,1.02332,3.003372681281619,0.09990867727423368,0.0,0.0,-0.6718629,0.7963264493990024,0.7963264493990024,1.0
52800,1.0651032,3.004983388704319,0.09983471220682476,0.0,0.0,-0.6693998,0.794499237537384,0.794499237537384,1.0
55200,1.1380508,3.0016750418760467,0.10000000149011612,0.0,0.0,-0.66822726,0.7981628432297746,0.7981628432297746,1.0
57600,1.1635131,3.0033333333333334,0.10000000149011612,0.0,0.0,-0.6683802,0.7963325707117717,0.7963325707117717,1.0
60000,1.1912996,3.0016611295681064,0.09991071576119534,0.0,0.0,-0.6608936,0.7981659038861593,0.7981659038861593,1.0
