Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2400,5.544535,120.85,0.005586428665801098,0.0,0.0,0.05912545,-112.74403742740029,-112.74403742740029,1.0
4800,5.5446825,109.81818181818181,0.005824703268618101,0.0,0.0,0.18629652,-108.96551661057906,-108.96551661057906,1.0
7200,5.5447273,117.9,0.005490424949675799,0.0,0.0,0.07381405,-124.07287654876708,-124.07287654876708,1.0
9600,5.544657,112.0,0.00466474894201383,0.0,0.0,0.07961031,-115.67745463053386,-115.67745463053386,1.0
12000,5.4852366,105.375,0.004779712597761924,0.0,0.0,0.5697878,-106.71970126939857,-106.71970126939857,1.0
14400,5.3622785,123.61111111111111,0.0049258038957810234,0.0,0.0,0.6065651,-115.30601762470447,-115.30601762470447,1.0
16800,5.3477607,165.41666666666666,0.00951185104107329,0.0,0.0,0.6364838,-169.38623230273907,-169.38623230273907,1.0
19200,5.393618,314.0,0.0015607773966621608,0.0,0.0,0.65884656,-455.1955871582031,-455.1955871582031,1.0
21600,5.3971195,873.0,0.0033831872569862753,0.0,0.0,0.7477027,-463.67986424763996,-463.67986424763996,1.0
24000,5.4356365,666.0,0.0005997001426294446,0.0,0.0,0.53368616,-1046.9478454589844,-1046.9478454589844,1.0
26400,5.442191,356.5,0.0012234142632223666,0.0,0.0,0.5398746,-357.6939010620117,-357.6939010620117,1.0
28800,5.4387283,988.0,0.00040444894693791866,0.0,0.0,0.015752919,None,None,1.0
31200,5.421666,40.0,0.01631840830668807,0.0,0.0,0.6788212,-358.31160672505695,-358.31160672505695,1.0
