Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,2.6496048,0.0,4.826086956521739,0.5369836,-102.8,-102.8,6855.1777,0.0769768,0.00029876878,1.0
4800,2.1352663,0.0,3.0,0.022347467,-52.17,-52.17,7588.94,0.07248413,0.00029753763,1.0
7200,2.0188515,0.0,3.0,-0.22013113,-0.14333333333333334,-0.14333333333333334,3347.7031,0.08657112,0.00029630642,1.0
9600,1.8996587,0.0,3.0,-0.2256275,27.413333333333334,27.413333333333334,1403.4059,0.06840576,0.0002950752,1.0
12000,1.8451163,0.9253731343283582,3.0,-0.035158634,35.571666666666665,35.571666666666665,894.64215,0.062792666,0.00029384403,1.0
14400,1.8168322,1.0,3.0,0.2748989,36.71333333333333,36.71333333333333,521.3666,0.06333365,0.00029199722,1.0
16800,1.81711,1.0,3.0,0.7379516,36.81166666666667,36.81166666666667,546.12885,0.06870213,0.0002901504,1.0
19200,1.8047231,1.0,3.0,1.218778,37.41833333333334,37.41833333333334,472.19653,0.0620642,0.00028891923,1.0
21600,1.793048,1.0,3.0,1.8060536,37.696666666666665,37.696666666666665,377.49466,0.077126116,0.00028768802,1.0
24000,1.7846314,1.0,3.0,2.582229,37.81166666666667,37.81166666666667,351.71716,0.06415566,0.0002864568,1.0
26400,1.7684388,1.0,3.0,3.627192,38.23,38.23,376.1625,0.06281429,0.00028522566,1.0
28800,1.7662023,1.0,3.0,4.7253165,38.39,38.39,282.26855,0.07427257,0.00028337885,1.0
31200,1.7097994,1.0,3.0,6.1076226,38.971666666666664,38.971666666666664,252.7141,0.06403872,0.00028153203,1.0
33600,1.6573393,1.0,3.0,7.7526236,38.43,38.43,206.11157,0.0634178,0.00028030082,1.0
36000,1.6001204,1.3333333333333333,3.0,9.195116,39.18333333333333,39.18333333333333,196.91821,0.054703426,0.00027906962,1.0
38400,1.5055358,2.7313432835820897,3.0,10.790627,40.92166666666667,40.92166666666667,279.39886,0.0675224,0.00027783844,1.0
40800,1.381942,4.6716417910447765,3.0,12.549307,44.071666666666665,44.071666666666665,532.17755,0.06569922,0.00027660723,1.0
43200,1.1850576,8.075757575757576,3.0,14.725871,51.14333333333333,51.14333333333333,1536.2205,0.07463367,0.00027476042,1.0
45600,0.96078306,14.447761194029852,3.0,16.278126,64.65666666666667,64.65666666666667,4112.373,0.07273551,0.00027291363,1.0
48000,0.7233832,24.104477611940297,3.0,17.072727,94.83,94.83,6486.6587,0.07937383,0.00027168242,1.0
50400,0.51154107,43.86363636363637,3.0,18.288979,131.955,131.955,12668.508,0.077091075,0.00027045122,1.0
52800,0.34586912,80.55223880597015,3.0,19.732813,168.78333333333333,168.78333333333333,16557.39,0.08283189,0.00026922,1.0
55200,0.18419534,132.53731343283582,3.0,21.790354,212.60833333333332,212.60833333333332,22506.877,0.06904508,0.0002679888,1.0
57600,0.08852934,193.3181818181818,3.0,25.535671,231.18333333333334,231.18333333333334,28084.074,0.07618407,0.000266142,1.0
60000,0.040645525,258.0,3.0,30.309258,240.58,240.58,28492.96,0.061971232,0.00026429523,1.0
62400,0.026668524,324.8358208955224,3.0,35.650574,240.255,240.255,27246.822,0.054661993,0.00026306402,1.0
64800,0.020929376,390.5,3.0,41.221607,242.295,242.295,25890.514,0.06809301,0.00026183284,1.0
67200,0.014465684,457.0,3.0,47.320324,242.12333333333333,242.12333333333333,24593.139,0.070704155,0.00026060164,1.0
