Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,1.9851358,1.0264150943396226,1.7189616252821671,-0.06499725,-57.625850340136054,-57.625850340136054,7198.03,0.062401097,0.00029876642,1.0
4800,1.9645683,2.612167300380228,1.7379862700228832,-0.4408422,-43.01598173515982,-43.01598173515982,5293.836,0.08593896,0.0002975352,1.0
7200,1.8957117,3.539622641509434,1.7542857142857142,-0.8070239,-25.695303550973655,-25.695303550973655,4793.105,0.06675091,0.0002963028,1.0
9600,1.8006362,6.89922480620155,1.745704467353952,-1.0160639,-10.290617848970252,-10.290617848970252,3293.291,0.07745885,0.0002950686,1.0
12000,1.6932461,11.406844106463879,1.7019122609673791,-1.0616767,-0.4701240135287486,-0.4701240135287486,3139.3645,0.07556992,0.000293838,1.0
14400,1.5684284,18.226923076923075,1.6567656765676568,-0.9578769,9.435072142064373,9.435072142064373,3054.2607,0.06904711,0.00029198494,1.0
16800,1.392131,27.46153846153846,1.6930917327293318,-0.7502485,25.29753914988814,25.29753914988814,4722.2983,0.0793357,0.0002901396,1.0
19200,1.2118986,41.53639846743295,1.7437070938215102,-0.40638688,34.993135011441645,34.993135011441645,5936.4023,0.06924134,0.0002889102,1.0
21600,1.0808144,60.416666666666664,1.728409090909091,0.056537364,43.56186152099887,43.56186152099887,6317.7593,0.072208285,0.0002876784,1.0
24000,0.900734,87.93129770992367,1.64647577092511,0.54592603,60.94696132596685,60.94696132596685,8594.829,0.07208962,0.00028644482,1.0
26400,0.78191286,121.86466165413533,1.6891133557800224,1.1979088,70.81543624161074,70.81543624161074,10027.685,0.0764064,0.0002852076,1.0
28800,0.67443985,156.78947368421052,1.65121412803532,1.7698197,78.79646017699115,78.79646017699115,10566.784,0.0711391,0.00028336025,1.0
31200,0.70604146,194.7923076923077,1.7428571428571429,2.8999984,79.28114285714285,79.28114285714285,10729.036,0.07383311,0.00028150863,1.0
33600,0.6759964,229.97297297297297,1.7540229885057472,3.7549014,76.00114678899082,76.00114678899082,9755.481,0.05869596,0.00028027862,1.0
36000,0.62744975,265.12927756653994,1.7028248587570622,4.524779,87.98986486486487,87.98986486486487,10843.848,0.072871245,0.00027904866,1.0
38400,0.586574,303.69083969465646,1.6958473625140291,5.177712,81.16835016835017,81.16835016835017,10858.461,0.056939602,0.00027781623,1.0
40800,0.60580146,343.0151515151515,1.7096045197740113,6.286284,90.67155756207674,90.67155756207674,10938.071,0.07815521,0.00027658624,1.0
43200,0.63772804,381.8988764044944,1.7080045095828635,7.160318,83.9109357384442,83.9109357384442,10961.136,0.07562752,0.00027473824,1.0
45600,0.6039886,421.83141762452107,1.6741071428571428,8.145289,87.16481069042317,87.16481069042317,10952.942,0.071925454,0.00027289146,1.0
