Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,3.0490448,0.0,11.363636363636363,0.3614584,46.596858638743456,46.596858638743456,7538.642,0.079734154,0.0002987472,1.0
4800,2.6668928,0.0,7.0,0.22551885,102.23333333333333,102.23333333333333,10831.094,0.06609411,0.00029749444,1.0
7200,2.5742383,0.0,7.0,0.55052495,172.74666666666667,172.74666666666667,10297.82,0.080371656,0.0002962416,1.0
9600,2.4728024,0.0,7.0,1.478066,200.72666666666666,200.72666666666666,10652.716,0.07563012,0.00029498877,1.0
12000,2.415606,0.0,7.0,2.8185213,207.02333333333334,207.02333333333334,10910.551,0.072845615,0.00029373603,1.0
14400,2.3709323,0.0,7.0,4.4210277,210.47666666666666,210.47666666666666,10585.1455,0.07591619,0.00029248322,1.0
16800,2.3208413,0.0,7.0,6.673894,213.75,213.75,10184.135,0.06069859,0.00029060402,1.0
19200,2.2673132,0.0,7.0,9.585647,214.82,214.82,9619.927,0.0716319,0.0002887248,1.0
21600,2.2451622,0.0,7.0,12.9303255,215.78333333333333,215.78333333333333,9191.083,0.06622684,0.000287472,1.0
24000,2.2331464,0.0,7.0,16.872997,214.83,214.83,8581.696,0.07542555,0.0002862192,1.0
26400,2.1880171,0.0,7.0,21.310793,216.51,216.51,7954.0806,0.079266876,0.0002849664,1.0
28800,2.171545,0.0,7.0,26.09003,215.72666666666666,215.72666666666666,7297.5444,0.082648635,0.0002837136,1.0
31200,2.169851,0.0,7.0,31.044645,215.90666666666667,215.90666666666667,6608.4883,0.062669404,0.00028246082,1.0
33600,2.0976913,0.0,7.0,37.059155,215.37666666666667,215.37666666666667,5499.175,0.07036498,0.0002805816,1.0
36000,2.0207639,0.0,7.0,43.186817,216.86333333333334,216.86333333333334,4544.4224,0.061598886,0.00027870244,1.0
38400,1.9987273,0.0,7.0,48.284016,216.66,216.66,3940.6042,0.0683737,0.0002774496,1.0
40800,1.9580203,0.0,7.0,54.111008,216.61333333333334,216.61333333333334,3391.5715,0.08950587,0.00027619684,1.0
43200,1.9327385,0.0,7.0,60.14892,217.15,217.15,2851.278,0.056894112,0.00027494403,1.0
45600,1.9033595,0.0,7.0,66.24527,217.29,217.29,2369.2117,0.07272786,0.00027369123,1.0
48000,1.8423258,0.0,7.0,71.85928,218.39666666666668,218.39666666666668,1855.1168,0.06357072,0.00027243842,1.0
50400,1.7662363,0.0,7.0,78.36078,217.74333333333334,217.74333333333334,1289.5359,0.061793655,0.00027055922,1.0
52800,1.7054849,0.0,7.0,83.21555,218.7,218.7,827.8736,0.06040692,0.00026868,1.0
55200,1.6957179,0.0,7.0,88.23697,219.01,219.01,584.6912,0.06654463,0.0002674272,1.0
57600,1.665365,0.0,7.0,92.37984,217.63666666666666,217.63666666666666,397.8306,0.061806623,0.0002661744,1.0
60000,1.6493404,0.0,7.0,94.01587,219.26,219.26,341.36032,0.08305357,0.00026492166,1.0
62400,1.6459882,0.0,7.0,95.574776,218.74666666666667,218.74666666666667,259.7537,0.06239892,0.00026366883,1.0
