Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,2.6065385,0.0,4.583333333333333,-0.85348,-115.16588785046729,-115.16588785046729,7188.8267,0.07254184,0.00029876878,1.0
4800,2.1656265,0.0,3.0,-1.23658,-83.60166666666667,-83.60166666666667,9340.059,0.07119896,0.00029753763,1.0
7200,2.1066768,0.0,3.0,-1.3968571,-40.288333333333334,-40.288333333333334,6661.5796,0.08038488,0.00029630642,1.0
9600,1.9920859,0.0,3.0,-1.3118724,6.613333333333333,6.613333333333333,3406.6555,0.0775274,0.0002950752,1.0
12000,1.8995963,0.8955223880597015,3.0,-1.1355969,29.076666666666668,29.076666666666668,1617.7521,0.07289342,0.00029384403,1.0
14400,1.8630205,1.0,3.0,-0.98075837,34.95333333333333,34.95333333333333,744.677,0.06440574,0.00029199722,1.0
16800,1.8482076,1.0,3.0,-0.76475906,36.855,36.855,617.3984,0.06492736,0.0002901504,1.0
19200,1.8388985,1.0,3.0,-0.50592476,37.35666666666667,37.35666666666667,476.09985,0.06253291,0.00028891923,1.0
21600,1.8367883,1.0,3.0,-0.18187772,37.656666666666666,37.656666666666666,447.7238,0.06976267,0.00028768802,1.0
24000,1.8286692,1.0,3.0,0.16075104,37.92666666666667,37.92666666666667,430.25455,0.066022255,0.0002864568,1.0
26400,1.8253067,1.0,3.0,0.5625422,37.031666666666666,37.031666666666666,404.08374,0.0728708,0.00028522566,1.0
28800,1.8106397,1.878787878787879,3.0,0.9011968,37.865,37.865,464.90942,0.06350138,0.00028337885,1.0
31200,1.790496,2.0,3.0,1.4470121,38.43333333333333,38.43333333333333,425.4574,0.06131838,0.00028153203,1.0
33600,1.7956574,2.0,3.0,2.0684485,38.031666666666666,38.031666666666666,405.39468,0.067706846,0.00028030082,1.0
36000,1.7890449,2.0,3.0,2.6367126,37.638333333333335,37.638333333333335,338.64792,0.069197215,0.00027906962,1.0
38400,1.7709597,2.0,3.0,3.223542,37.98833333333334,37.98833333333334,380.38208,0.061543416,0.00027783844,1.0
40800,1.7716799,2.0,3.0,3.8860595,37.913333333333334,37.913333333333334,270.54666,0.07455826,0.00027660723,1.0
43200,1.76514,2.0,3.0,4.65927,38.195,38.195,259.41113,0.06489957,0.00027476042,1.0
45600,1.7436523,2.0,3.0,5.7502565,39.25333333333333,39.25333333333333,314.86533,0.076556884,0.00027291363,1.0
48000,1.7119974,2.611940298507463,3.0,6.9644156,38.92333333333333,38.92333333333333,280.60385,0.06927425,0.00027168242,1.0
50400,1.6824303,3.0,3.0,8.170861,40.391666666666666,40.391666666666666,461.46716,0.07758668,0.00027045122,1.0
52800,1.6318663,3.0,3.0,9.456324,39.3,39.3,441.3292,0.07540667,0.00026922,1.0
55200,1.5899563,3.0,3.0,10.649478,39.21,39.21,62.13888,0.073465206,0.0002679888,1.0
57600,1.5211699,3.0,3.0,12.262058,42.76,42.76,506.14233,0.07334687,0.000266142,1.0
60000,1.4401928,3.0,3.0,13.858164,43.721666666666664,43.721666666666664,544.3394,0.07711757,0.00026429523,1.0
62400,1.3586919,3.8955223880597014,3.0,14.9176855,42.651666666666664,42.651666666666664,870.7249,0.065854974,0.00026306402,1.0
64800,1.2840303,5.863636363636363,3.0,15.717366,50.86666666666667,50.86666666666667,1246.2452,0.08582767,0.00026183284,1.0
67200,1.1910275,8.388059701492537,3.0,16.47845,54.696666666666665,54.696666666666665,2256.8184,0.06827611,0.00026060164,1.0
69600,1.0780089,12.044776119402986,3.0,16.769205,64.26333333333334,64.26333333333334,2639.706,0.08011354,0.00025937043,1.0
72000,0.8938609,19.12121212121212,3.0,17.666061,82.355,82.355,5741.5615,0.07067393,0.0002575236,1.0
74400,0.688076,37.014925373134325,3.0,18.168106,115.935,115.935,11214.676,0.07443914,0.00025567683,1.0
76800,0.5322751,66.98507462686567,3.0,18.913727,140.55166666666668,140.55166666666668,14752.8955,0.07121492,0.00025444562,1.0
79200,0.4052049,95.63636363636364,3.0,20.072,163.85166666666666,163.85166666666666,18028.066,0.07643891,0.00025321447,1.0
81600,0.29056564,140.16417910447763,3.0,21.325993,186.275,186.275,20805.4,0.065345,0.00025198326,1.0
84000,0.17831743,196.40298507462686,3.0,23.276274,217.76,217.76,24206.375,0.07818863,0.00025075205,1.0
86400,0.098589115,257.8484848484849,3.0,26.254395,233.06666666666666,233.06666666666666,27792.559,0.06636359,0.00024890524,1.0
88800,0.06861743,321.6865671641791,3.0,30.03747,235.095,235.095,27619.041,0.05814734,0.00024705843,1.0
91200,0.045632243,386.1641791044776,3.0,33.60701,238.18833333333333,238.18833333333333,27193.162,0.07392812,0.00024582725,1.0
