Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
2400,1.5632429,0.0,4.816901408450704,9.938212,5.793103448275862,5.793103448275862,148.42572,-6.1950545,72.8664,75.01347,0.462601,0.0003,1.0
4800,0.81093794,0.0,3.0,17.812603,40.10666666666667,40.10666666666667,0.5999349,-16.673048,0.2728755,0.27012765,0.50844514,0.0003,1.0
7200,0.90035033,0.0,3.0,17.550201,39.87833333333333,39.87833333333333,0.14579745,-17.724194,0.065500475,0.06318794,0.772173,0.0003,1.0
9600,0.8210002,0.0,3.0,17.935436,40.18833333333333,40.18833333333333,0.16979422,-17.954418,0.07893942,0.07765672,1.1322368,0.0003,1.0
12000,0.8233553,0.0,3.0,18.47345,40.185,40.185,0.07576548,-18.490149,0.035289217,0.034264542,1.9485807,0.0003,1.0
14400,0.8165727,0.0,3.0,19.005003,39.74333333333333,39.74333333333333,0.11864637,-19.104124,0.05541393,0.054303806,3.0031183,0.0003,1.0
16800,0.8309356,0.0,3.0,19.750618,39.56666666666667,39.56666666666667,0.06145247,-19.74759,0.029230684,0.028457094,4.328894,0.0003,1.0
19200,0.83038557,0.0,3.0,20.64041,39.51,39.51,0.058543567,-20.651396,0.027481394,0.026851451,5.8659325,0.0003,1.0
21600,0.56364,0.0,3.0,21.307848,37.915,37.915,0.2250579,-21.270899,0.08197592,0.083975114,7.506114,0.0003,1.0
24000,0.47902673,0.26865671641791045,3.0,22.178566,38.306666666666665,38.306666666666665,8.996758,-22.299603,4.463078,4.447909,9.139441,0.0003,1.0
26400,0.4693324,1.0,3.0,24.080364,38.96666666666667,38.96666666666667,20.069674,-24.131464,10.005882,9.994509,11.02056,0.0003,1.0
28800,0.5315997,1.0,3.0,25.262379,39.251666666666665,39.251666666666665,0.04887689,-25.246742,0.023238525,0.022988033,13.485188,0.0003,1.0
31200,0.55915046,1.0,3.0,26.734667,38.98833333333334,38.98833333333334,0.05495992,-26.845497,0.023247063,0.02206227,15.821245,0.0003,1.0
33600,0.6553622,1.0,3.0,27.849274,38.67666666666667,38.67666666666667,0.08078459,-27.805885,0.036894727,0.03679301,17.565752,0.0003,1.0
36000,0.7360637,1.0,3.0,28.651285,39.00666666666667,39.00666666666667,0.0852582,-28.682936,0.0391403,0.03841027,18.89174,0.0003,1.0
38400,0.9893297,1.0,3.0,29.250198,38.72666666666667,38.72666666666667,0.07284054,-29.378313,0.03340273,0.032686494,19.65168,0.0003,1.0
