Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
2400,2.5577571,0.0,10.647887323943662,16.86968,14.125,14.125,34.51866,-7.522523,17.35547,16.82109,0.20371251,0.00029999999,1.0
4800,0.46919805,0.0,3.0,16.777487,38.43666666666667,38.43666666666667,0.5261801,-18.269636,0.23412763,0.22619934,0.15530904,0.0003,1.0
7200,0.805302,0.0,3.0,16.544092,38.99666666666667,38.99666666666667,0.037203968,-16.507715,0.010863909,0.010987726,0.18440273,0.0003,1.0
9600,0.9563385,0.0,3.0,16.612728,38.95,38.95,0.012839717,-16.695488,0.003425765,0.0036195724,0.30650878,0.0003,1.0
12000,0.9146064,0.0,3.0,16.758284,38.843333333333334,38.843333333333334,0.008902669,-16.84816,0.0028537998,0.0027833472,0.4901062,0.0003,1.0
14400,0.96172976,0.0,3.0,16.946575,38.781666666666666,38.781666666666666,0.0031838166,-16.937662,0.00080589426,0.0007658306,0.73170185,0.0003,1.0
16800,0.9763011,0.0,3.0,17.171888,38.718333333333334,38.718333333333334,0.0026599609,-17.171331,0.0005608565,0.0006956206,1.0869633,0.0003,1.0
19200,0.9712811,0.0,3.0,17.48135,38.641666666666666,38.641666666666666,0.002014385,-17.49904,0.00045553737,0.0004692768,1.5938696,0.0003,1.0
21600,0.97501487,0.0,3.0,17.863333,38.64,38.64,0.0016111238,-17.832636,0.000335397,0.00041069856,2.2239027,0.0003,1.0
24000,0.9509221,0.0,3.0,18.29067,38.59,38.59,0.0012233279,-18.376558,0.00028644307,0.00025750767,2.9087536,0.0003,1.0
26400,0.91298616,0.0,3.0,18.80092,38.531666666666666,38.531666666666666,0.001202545,-18.866386,0.0002335336,0.00030424792,3.73993,0.0003,1.0
28800,0.964921,0.0,3.0,19.359926,38.55,38.55,0.0010059861,-19.349438,0.00022665148,0.00023126227,4.652813,0.0003,1.0
31200,0.82202524,0.0,3.0,20.080284,38.31,38.31,0.043074355,-20.07852,0.017561944,0.022158157,5.842658,0.0003,1.0
