Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
2400,1.5479482,0.0,4.692660550458716,7.056576,2.9518072289156625,2.9518072289156625,146.69073,-3.5942419,72.77812,73.50396,0.054461174,0.0003,1.0
4800,0.31694105,0.0,3.0,16.643822,38.86833333333333,38.86833333333333,0.7300861,-15.128897,0.32174763,0.33292726,0.0837773,0.0003,1.0
7200,0.5310034,0.0,3.0,16.851675,39.74166666666667,39.74166666666667,0.07882754,-16.945696,0.029623123,0.029871328,0.12014261,0.0003,1.0
9600,0.5106611,0.0,3.0,17.484747,40.41833333333334,40.41833333333334,0.10144815,-17.446651,0.04343977,0.04353305,0.2148617,0.0003,1.0
12000,0.5662053,0.0,3.0,17.502243,40.10166666666667,40.10166666666667,0.08701888,-17.573956,0.03733905,0.037263878,0.4090195,0.0003,1.0
14400,0.5147836,0.0,3.0,18.113337,41.34,41.34,0.05612234,-18.075043,0.024251707,0.024381764,0.7422901,0.0003,1.0
16800,0.63879824,0.0,3.0,18.33847,40.861666666666665,40.861666666666665,0.032080255,-18.369701,0.014061759,0.014184745,1.3684647,0.0003,1.0
19200,0.729566,0.0,3.0,18.660986,40.336666666666666,40.336666666666666,0.04682156,-18.715754,0.021313652,0.02138667,2.1769233,0.0003,1.0
21600,0.7668943,0.0,3.0,19.18456,39.83166666666666,39.83166666666666,0.058238972,-19.148787,0.026814109,0.026966913,3.2703874,0.0003,1.0
24000,0.76653636,0.0,3.0,19.993038,39.605,39.605,0.06533022,-19.965984,0.03052349,0.030577831,4.683758,0.0003,1.0
26400,0.77764195,0.0,3.0,20.897337,39.528333333333336,39.528333333333336,0.0671375,-20.91035,0.031386808,0.031507663,6.2149777,0.0003,1.0
28800,0.6076442,0.0,3.0,21.479042,38.265,38.265,0.3333904,-21.520905,0.15740421,0.15758632,7.6177897,0.0003,1.0
31200,0.5448076,0.0,3.0,22.59257,38.55,38.55,0.18788235,-22.721918,0.08275665,0.07622301,9.233512,0.0003,1.0
33600,0.45576748,0.0,3.0,23.573778,38.70166666666667,38.70166666666667,0.16352597,-23.591557,0.07448936,0.07442076,11.24949,0.0003,1.0
36000,0.53177494,0.0,3.0,25.767694,39.31666666666667,39.31666666666667,0.030759398,-25.734882,0.014057234,0.014103003,13.851214,0.0003,1.0
