Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
2400,1.6263982,0.0,5.090909090909091,7.1497483,11.28826530612245,11.28826530612245,111.19765,-4.2152824,54.302467,56.479164,0.21045673,0.00029999999,1.0
4800,0.4807241,0.0,3.0,17.230925,39.63666666666666,39.63666666666666,0.6980748,-15.937762,0.29992726,0.3132636,0.2482849,0.0003,1.0
7200,0.5063836,0.0,3.0,18.13044,41.93666666666667,41.93666666666667,0.18065986,-18.0865,0.0779811,0.07782934,0.39941397,0.0003,1.0
9600,0.6894194,0.0,3.0,18.362259,41.81,41.81,0.013292175,-18.357718,0.0040907254,0.0040295576,0.7233292,0.0003,1.0
12000,0.80267256,0.0,3.0,18.353354,41.045,41.045,0.01833676,-18.48104,0.007146482,0.007024557,1.2764475,0.0003,1.0
14400,0.82600135,0.0,3.0,18.561874,40.21666666666667,40.21666666666667,0.04338253,-18.520374,0.018989976,0.018836603,2.0351229,0.0003,1.0
16800,0.8349561,0.0,3.0,19.042532,39.77166666666667,39.77166666666667,0.057391867,-19.002096,0.026186269,0.026180273,3.0501,0.0003,1.0
19200,0.85809374,0.0,3.0,19.74852,39.55,39.55,0.056737088,-19.72009,0.026109375,0.026096754,4.386633,0.0003,1.0
21600,0.85939616,0.0,3.0,20.650957,39.435,39.435,0.061767425,-20.610657,0.028559482,0.028523266,5.8957844,0.0003,1.0
24000,0.48440698,0.0,3.0,21.577513,39.035,39.035,0.22742409,-21.590597,0.10698354,0.10870181,7.480836,0.0003,1.0
26400,0.4599324,0.0,3.0,22.6632,39.03333333333333,39.03333333333333,0.08461846,-22.69185,0.040281348,0.037080564,9.187027,0.0003,1.0
