Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.544661,209.53846153846155,0.005625105713709042,0.07692307692307693,0.07692307692307693,-0.23473556,-151.33181035518646,-151.33181035518646,551.292,0.07890936,0.0002986128,1.0
4800,5.537156,143.6,0.00695165074042355,0.4666666666666667,0.13333333333333333,-0.7462415,-163.71560277938843,-163.71560277938843,398.88452,0.0759626,0.00029737863,1.0
7200,5.5386868,104.30434782608695,0.002769468129951168,0.5909090909090909,0.09090909090909091,-1.4338604,-146.00084719450578,-146.00084719450578,567.3329,0.06039626,0.00029603942,1.0
9600,5.536143,90.8,0.006552156150670878,0.625,0.125,-1.6335099,-113.53734451293946,-113.53734451293946,459.34525,0.06108192,0.0002947932,1.0
12000,5.531048,113.52380952380952,0.004160283270591337,0.7619047619047619,0.0,-2.7861667,-128.36193134671166,-128.36193134671166,395.98657,0.05912754,0.00029351164,1.0
14400,5.5191035,142.52941176470588,0.0029742757478208445,0.7058823529411765,0.058823529411764705,-2.8111057,-172.02992688908296,-172.02992688908296,693.1684,0.06867896,0.0002922288,1.0
16800,5.5219755,214.63636363636363,0.0025290742791681128,1.2727272727272727,0.0,-4.209826,-257.02543501420456,-257.02543501420456,448.04303,0.064952,0.00029081103,1.0
19200,5.522931,92.11538461538461,0.008017427457768159,1.125,0.041666666666666664,-4.3534455,-112.62008597300603,-112.62008597300603,216.91678,0.06429692,0.000289404,1.0
21600,5.502697,112.23809523809524,0.004398201625735965,1.5,0.15,-4.8312497,-120.32935850960868,-120.32935850960868,472.84192,0.07567973,0.00028816864,1.0
24000,5.502619,139.0,0.005487544828450636,1.8823529411764706,0.11764705882352941,-4.6988378,-101.30660089693572,-101.30660089693572,305.6135,0.056585684,0.00028680783,1.0
