Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.5443163,162.26666666666668,0.0046431589716424545,0.0,0.0,-0.119416334,-132.8580906731742,-132.8580906731742,102.98782,0.06994241,0.00029863563,1.0
4800,5.543569,133.22222222222223,0.005330844953491846,0.0,0.0,-0.71939045,-135.0599546432495,-135.0599546432495,122.65945,0.062993266,0.00029737983,1.0
7200,5.5415125,133.38888888888889,0.004007729604685058,0.0,0.0,-1.3190058,-133.98532973395453,-133.98532973395453,121.12214,0.0643914,0.00029613602,1.0
9600,5.5338597,100.47826086956522,0.005130098356554906,0.0,0.0,-2.086989,-109.56766045611838,-109.56766045611838,115.57494,0.055204853,0.0002948532,1.0
12000,5.520116,99.41666666666667,0.005120733478785648,0.0,0.0,-3.1056633,-97.986181418101,-97.986181418101,107.99994,0.069086716,0.0002936202,1.0
14400,5.498261,59.41860465116279,0.00945963508205577,0.0,0.0,-4.032717,-58.47426836831229,-58.47426836831229,95.37789,0.06465837,0.00029236983,1.0
16800,5.444234,42.72,0.012634841378461173,0.0,0.0,-4.830716,-44.394525340959134,-44.394525340959134,80.06213,0.07461091,0.00029113024,1.0
19200,5.391821,31.093333333333334,0.015874137170612812,0.0,0.0,-5.541497,-29.15772174358368,-29.15772174358368,53.66815,0.075808346,0.00028925552,1.0
21600,5.3246827,23.16,0.022331566698002545,0.0,0.0,-6.3048882,-20.539223952726886,-20.539223952726886,32.261375,0.064918905,0.00028739942,1.0
24000,5.1676173,16.388489208633093,0.028922939560962497,0.0,0.0,-6.5930953,-13.672742836717246,-13.672742836717246,28.537897,0.08653567,0.00028616283,1.0
26400,5.0038767,12.505747126436782,0.03849271615561014,0.0,0.0,-6.8360734,-9.32453675703569,-9.32453675703569,16.16225,0.084423184,0.00028493346,1.0
28800,4.687751,8.464566929133857,0.05066212603633993,0.0,0.0,-6.8531814,-5.192019322725732,-5.192019322725732,13.640075,0.091192685,0.0002836968,1.0
31200,4.263891,6.3938461538461535,0.05902777383480356,0.0,0.0,-6.664235,-2.9116920354189695,-2.9116920354189695,11.630357,0.084254265,0.0002824662,1.0
33600,3.7224696,5.00250626566416,0.07143875888802788,0.0,0.0,-6.1837177,-1.4277807530760764,-1.4277807530760764,13.247448,0.08211751,0.00028060563,1.0
36000,3.2133524,4.052410901467505,0.08489851796731157,0.0,0.0,-5.306284,-0.35705141418858577,-0.35705141418858577,11.799866,0.07778658,0.00027874802,1.0
38400,2.9056742,3.5915221579961463,0.08982378933660784,0.0,0.0,-4.5842886,0.1440134269981092,0.1440134269981092,10.51715,0.066604294,0.00027751262,1.0
40800,2.7854671,3.5714285714285716,0.09035176316560325,0.0,0.0,-3.8548455,0.16445882297697523,0.16445882297697523,6.9757867,0.07918218,0.00027627242,1.0
43200,2.633391,3.4080882352941178,0.09313834243421924,0.0,0.0,-3.2885787,0.34851116621318984,0.34851116621318984,4.7803135,0.06827384,0.00027504063,1.0
45600,2.5246649,3.294642857142857,0.09465742497881756,0.0,0.0,-2.7811444,0.4748366885620281,0.4748366885620281,3.4960086,0.07299134,0.0002738058,1.0
48000,2.428264,3.2314487632508833,0.0953533036273814,0.0,0.0,-2.3339155,0.5429319795056836,0.5429319795056836,2.0624282,0.06403418,0.00027195513,1.0
50400,2.3828418,3.1902268760907506,0.09641226469517843,0.0,0.0,-1.9514201,0.5861456768675001,0.5861456768675001,1.0844966,0.07578763,0.0002700996,1.0
52800,2.2989774,3.1611785095320624,0.09713085347927418,0.0,0.0,-1.6615995,0.6191541551510631,0.6191541551510631,0.6701309,0.068718635,0.00026886363,1.0
55200,2.2619305,3.1290877796901895,0.09790116937936477,0.0,0.0,-1.3999252,0.6573551977357848,0.6573551977357848,0.42667103,0.07024953,0.00026763065,1.0
57600,2.1902943,3.1166380789022297,0.09815430171903251,0.0,0.0,-1.2102953,0.6721874346659482,0.6721874346659482,0.26309603,0.076598845,0.00026639222,1.0
60000,2.0954342,3.0730050933786077,0.09881889893431363,0.0,0.0,-1.0604204,0.719127710282499,0.719127710282499,0.15862562,0.0658951,0.00026516282,1.0
62400,2.0375757,3.0318791946308723,0.09879725219048176,0.0,0.0,-0.9503819,0.7623034907667429,0.7623034907667429,0.07454999,0.06913076,0.00026330553,1.0
64800,1.9942955,3.0183946488294313,0.0994331997777769,0.0,0.0,-0.88580596,0.7797312321175682,0.7797312321175682,0.039952073,0.07070271,0.0002614572,1.0
67200,1.9554147,3.0201342281879193,0.09950000140815973,0.0,0.0,-0.8699545,0.7779445206899339,0.7779445206899339,0.033393186,0.077033155,0.0002602272,1.0
69600,1.8984323,3.0150753768844223,0.09973913188213887,0.0,0.0,-0.84870476,0.7826079343473632,0.7826079343473632,0.031174729,0.067681774,0.00025899723,1.0
72000,1.8323824,3.0133779264214047,0.09971153990437205,0.0,0.0,-0.8446079,0.7852835192728203,0.7852835192728203,0.020271018,0.06372183,0.00025776363,1.0
74400,1.7838567,3.010016694490818,0.0999014793064794,0.0,0.0,-0.83957994,0.7889624487197519,0.7889624487197519,0.017497292,0.0591121,0.00025653184,1.0
76800,1.750463,3.0050167224080266,0.09991379457943399,0.0,0.0,-0.83562887,0.7944900555682302,0.7944900555682302,0.016021052,0.07476448,0.0002546841,1.0
79200,1.7399182,3.010016694490818,0.0998501887314775,0.0,0.0,-0.8310796,0.7889808740759134,0.7889808740759134,0.016873172,0.07625853,0.00025283164,1.0
