Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.5435534,95.36,0.005382515388191678,0.041666666666666664,0.041666666666666664,-0.15518963,-114.60035999615987,-114.60035999615987,585.06433,0.07078871,0.0002987484,1.0
4800,5.5412555,100.92,0.005928187598170632,0.30434782608695654,0.13043478260869565,-0.7386038,-119.1189824104309,-119.1189824104309,481.8457,0.06292113,0.00029749502,1.0
7200,5.537011,89.12,0.005001917547222389,0.5652173913043478,0.08695652173913043,-1.3189223,-106.36839004516601,-106.36839004516601,334.8177,0.05743162,0.00029626442,1.0
9600,5.5269804,83.20689655172414,0.004490053902069728,0.7407407407407407,0.07407407407407407,-1.8479476,-87.68954303346831,-87.68954303346831,376.24097,0.05703917,0.00029499663,1.0
12000,5.5276256,108.0,0.003387375094462186,1.0,0.0,-2.8581965,-128.28054295886648,-128.28054295886648,312.69943,0.066737354,0.000293751,1.0
14400,5.504987,119.55,0.006118572359953664,1.1578947368421053,0.05263157894736842,-3.3195767,-185.24212656021118,-185.24212656021118,570.7167,0.073586576,0.00029244542,1.0
16800,5.49434,156.5,0.0039002291596261784,1.0625,0.0625,-4.785332,-163.87876489758492,-163.87876489758492,601.0609,0.066098236,0.0002911956,1.0
19200,5.4769835,120.3,0.004141779453493655,1.25,0.1,-4.4565496,-129.9873910954124,-129.9873910954124,272.7354,0.076528475,0.00028914993,1.0
21600,5.492312,104.33333333333333,0.00854240873166801,1.4736842105263157,0.05263157894736842,-5.181622,-111.72280606356534,-111.72280606356534,252.81136,0.048901692,0.00028722303,1.0
24000,5.4705215,78.83333333333333,0.01198119978653267,2.75,0.21428571428571427,-6.515715,-70.24587771097819,-70.24587771097819,251.80829,0.07610678,0.00028585145,1.0
26400,5.444787,107.54545454545455,0.006935104069998488,2.6,0.1,-7.136578,-110.01196711713618,-110.01196711713618,238.25911,0.07360877,0.00028446483,1.0
28800,5.4262457,100.375,0.0054416589184918185,2.272727272727273,0.18181818181818182,-7.9882126,-89.20474537213643,-89.20474537213643,120.95019,0.06337281,0.0002832174,1.0
31200,5.401486,192.93333333333334,0.01685999027492168,3.1333333333333333,0.06666666666666667,-9.374239,-114.98923365275066,-114.98923365275066,208.23608,0.06362282,0.00028187822,1.0
33600,5.4174404,81.125,0.009844675584210327,2.391304347826087,0.043478260869565216,-7.7343,-105.62725255886714,-105.62725255886714,156.4453,0.0686498,0.00028053898,1.0
36000,5.3736725,155.94736842105263,0.007308834727155045,3.3684210526315788,0.05263157894736842,-7.5969553,-94.67085693384472,-94.67085693384472,202.75348,0.06988278,0.00027905885,1.0
38400,5.3571296,135.46153846153845,0.006884446177123623,2.8181818181818183,0.09090909090909091,-7.2289553,-145.4244751563439,-145.4244751563439,83.69219,0.074869044,0.0002776806,1.0
40800,5.4077563,86.03846153846153,0.01538786959692674,3.739130434782609,0.13043478260869565,-8.716979,-77.6138929437708,-77.6138929437708,133.31526,0.070753925,0.0002764452,1.0
43200,5.3016615,56.21621621621622,0.014353341122235483,4.555555555555555,0.19444444444444445,-8.360266,-45.98068126472267,-45.98068126472267,176.58952,0.08151128,0.0002751786,1.0
45600,5.297598,88.35714285714286,0.01482736858140145,5.285714285714286,0.10714285714285714,-8.300098,-54.370462843350005,-54.370462843350005,146.01521,0.08888201,0.00027392642,1.0
48000,5.3106866,64.22222222222223,0.018549471405068678,5.3428571428571425,0.08571428571428572,-8.19989,-36.157105061742996,-36.157105061742996,120.61431,0.07019175,0.0002719044,1.0
50400,5.314565,133.0,0.025929895229637623,6.411764705882353,0.0,-10.254417,-106.39338246513816,-106.39338246513816,73.79517,0.06634142,0.00027002883,1.0
52800,5.2250447,58.65,0.03214996766473632,5.222222222222222,0.2222222222222222,-7.717607,-14.346722060441971,-14.346722060441971,None,None,None,1.0
55200,5.2592864,62.21951219512195,0.03878065954551049,6.388888888888889,0.1388888888888889,-8.309066,-42.04819951406339,-42.04819951406339,89.89941,0.07461488,0.00026768164,1.0
57600,5.2109203,52.08695652173913,0.023514134206131777,8.090909090909092,0.09090909090909091,-10.621944,-31.142258187998895,-31.142258187998895,72.41256,0.070911326,0.00026578442,1.0
