Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.5444865,150.61111111111111,0.005256582329618848,0.0,0.0,0.06777297,-99.83427846431732,-99.83427846431732,79.679054,0.06620649,0.00029875684,1.0
4800,5.54263,110.42105263157895,0.00414547950372492,0.0,0.0,-0.68175447,-123.88538932800293,-123.88538932800293,115.41256,0.073085524,0.0002974422,1.0
7200,5.5355406,117.95,0.004173029667550796,0.0,0.0,-1.4998872,-121.9298246383667,-121.9298246383667,116.68032,0.07685662,0.00029620322,1.0
9600,5.5253763,94.48,0.005538923971471377,0.0,0.0,-2.580044,-97.3736109161377,-97.3736109161377,108.52001,0.08148383,0.00029496662,1.0
12000,5.506297,68.22857142857143,0.006825278606265783,0.0,0.0,-3.9863718,-67.95102985927036,-67.95102985927036,94.6203,0.07429877,0.0002937252,1.0
14400,5.456014,43.38,0.012845931926787627,0.0,0.0,-5.183563,-45.818981974732644,-45.818981974732644,88.05666,0.064356886,0.00029248677,1.0
16800,5.3697624,32.97142857142857,0.016869026697951102,0.0,0.0,-6.4663696,-31.302345057896204,-31.302345057896204,51.88787,0.07380135,0.0002906301,1.0
19200,5.2154136,20.330357142857142,0.024134315683373382,0.0,0.0,-6.7671967,-17.646024819995677,-17.646024819995677,26.845757,0.0800368,0.00028877103,1.0
21600,4.9972396,15.06,0.03287031871274623,0.0,0.0,-7.198823,-12.160718176988947,-12.160718176988947,21.577444,0.07983656,0.00028750862,1.0
24000,4.5797076,8.673387096774194,0.04986007959104893,0.0,0.0,-7.2811527,-5.3441797908275355,-5.3441797908275355,12.847047,0.09834053,0.00028627864,1.0
26400,3.9890137,5.73314606741573,0.0672972197508783,0.0,0.0,-6.804838,-2.180370243323617,-2.180370243323617,13.707196,0.11355716,0.00028504862,1.0
28800,3.2343786,4.163440860215053,0.082111447921087,0.0,0.0,-5.9342136,-0.4857807755470276,-0.4857807755470276,16.511362,0.106399596,0.0002838174,1.0
31200,2.7401032,3.581261950286807,0.08974670797903488,0.0,0.0,-4.7685556,0.148548032946259,0.148548032946259,12.7744465,0.08137036,0.00028197185,1.0
33600,2.5118122,3.332730560578662,0.09378840346189757,0.0,0.0,-3.8952866,0.4285921665305265,0.4285921665305265,7.5268745,0.07022638,0.00028012562,1.0
36000,2.4267943,3.2910714285714286,0.09354239352410887,0.0,0.0,-3.193657,0.4778934527381801,0.4778934527381801,4.7426953,0.07082658,0.0002788932,1.0
38400,2.3393085,3.177391304347826,0.09700000109151005,0.0,0.0,-2.565793,0.603957839841428,0.603957839841428,3.0558918,0.06264407,0.00027766323,1.0
40800,2.291013,3.142857142857143,0.09750332137146794,0.0,0.0,-2.0618339,0.6422313383823849,0.6422313383823849,1.8480564,0.08619353,0.00027643263,1.0
43200,2.27208,3.2081128747795415,0.09601092995068089,0.0,0.0,-1.6989123,0.5712997246206852,0.5712997246206852,1.0284568,0.063990325,0.00027519904,1.0
45600,2.1974595,3.146804835924007,0.09770580423385025,0.0,0.0,-1.4133214,0.6390896341755394,0.6390896341755394,0.4513992,0.07138385,0.0002733459,1.0
48000,2.110854,3.046979865771812,0.09846376938664395,0.0,0.0,-1.1721661,0.7481161609266902,0.7481161609266902,0.14107014,0.06361016,0.000271491,1.0
50400,2.050788,3.0372250423011846,0.09931915031468615,0.0,0.0,-0.9921433,0.7593269716791746,0.7593269716791746,0.066762716,0.06273198,0.00027025802,1.0
