Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.5441165,116.77272727272727,0.004578369231672869,0.09523809523809523,0.047619047619047616,0.06114734,-153.3245641844613,-153.3245641844613,542.0927,0.07176389,0.0002986782,1.0
4800,5.543498,94.45833333333333,0.00365903383910494,0.6086956521739131,0.17391304347826086,-0.47901282,-136.8547532161077,-136.8547532161077,648.1277,0.068518125,0.00029743742,1.0
7200,5.5424223,129.8,0.004188092760925524,0.7368421052631579,0.0,-1.1192338,-176.08018641471864,-176.08018641471864,443.7686,0.0552696,0.00029619,1.0
9600,5.5368533,95.21739130434783,0.003125153226955306,0.5714285714285714,0.047619047619047616,-1.6402767,-108.61951023599376,-108.61951023599376,410.83334,0.05638298,0.00029491863,1.0
12000,5.528277,118.5,0.003339552278501085,0.8333333333333334,0.1111111111111111,-2.3231676,-123.32096309661866,-123.32096309661866,420.3882,0.06599157,0.000293676,1.0
14400,5.5114913,112.9090909090909,0.0047429289857280395,1.3333333333333333,0.047619047619047616,-2.8345091,-138.67914759029043,-138.67914759029043,169.30229,0.0704304,0.00029240877,1.0
16800,5.511255,116.36363636363636,0.005190394575368951,1.4545454545454546,0.18181818181818182,-3.4785104,-111.34381493655118,-111.34381493655118,705.54364,0.07309268,0.0002911482,1.0
19200,5.507392,128.5,0.0041823556724314885,1.5333333333333334,0.0,-3.8312197,-171.69094038754702,-171.69094038754702,225.98743,0.06918525,0.0002896866,1.0
21600,5.4981203,110.85714285714286,0.0037378236214863137,1.7,0.05,-4.678731,-110.16690435863677,-110.16690435863677,299.69498,0.06743464,0.00028779003,1.0
24000,5.5091176,106.79166666666667,0.005567823442106601,2.0,0.125,-5.0553527,-96.6404492110014,-96.6404492110014,285.7958,0.06290233,0.00028576027,1.0
