Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.5448494,342.22222222222223,0.005200478248298168,0.0,0.0,-0.082722984,-75.68520736694336,-75.68520736694336,26.137863,0.06442944,0.0002986824,1.0
4800,5.542655,152.25,0.004112010297831148,0.0,0.0,-0.37825474,-127.59487504225511,-127.59487504225511,72.62182,0.04690634,0.00029743803,1.0
7200,5.5419455,119.42105263157895,0.004113945429899583,0.0,0.0,-1.0196003,-130.70715251721833,-130.70715251721833,124.15411,0.07229361,0.0002962002,1.0
9600,5.5407686,102.58333333333333,0.005085610086098313,0.0,0.0,-1.7742385,-102.63216106096904,-102.63216106096904,115.7847,0.07707209,0.0002949708,1.0
12000,5.53698,96.95652173913044,0.006660768003000513,0.0,0.0,-2.322738,-100.77195469538371,-100.77195469538371,108.873344,0.06472262,0.00029367962,1.0
14400,5.533152,84.41379310344827,0.005841602925211191,0.0,0.0,-3.3485377,-85.56298616954258,-85.56298616954258,110.48301,0.08036927,0.00029241902,1.0
16800,5.5251527,77.6,0.007889321868725378,0.0,0.0,-4.0250564,-74.48967951536179,-74.48967951536179,99.58588,0.08179475,0.00029115542,1.0
19200,5.512288,55.292682926829265,0.011067677231039852,0.0,0.0,-5.349239,-55.8174282632223,-55.8174282632223,85.98025,0.06950099,0.00028921862,1.0
21600,5.4948254,52.044444444444444,0.009809391782619059,0.0,0.0,-5.7673984,-52.79425606197781,-52.79425606197781,72.9699,0.0566144,0.00028735082,1.0
24000,5.480043,48.16326530612245,0.0101347106417803,0.0,0.0,-6.5618706,-47.1595026716894,-47.1595026716894,59.28943,0.074441634,0.0002860974,1.0
26400,5.449392,34.289855072463766,0.01633275347569632,0.0,0.0,-7.146025,-32.034726407216944,-32.034726407216944,57.32925,0.07887482,0.00028485362,1.0
28800,5.4157724,30.905405405405407,0.017673248883276697,0.0,0.0,-7.392109,-29.521195630769473,-29.521195630769473,49.247925,0.074558206,0.0002836032,1.0
31200,5.36112,26.0,0.021069915308746405,0.0,0.0,-7.6920395,-23.838575875217263,-23.838575875217263,45.58599,0.06005284,0.000282279,1.0
33600,5.301972,22.310679611650485,0.025090282121788203,0.0,0.0,-7.6801596,-19.742891959773683,-19.742891959773683,29.65235,0.06760155,0.00028100164,1.0
36000,5.1942644,16.230215827338128,0.028773402165690506,0.0,0.0,-8.080299,-13.392181375901476,-13.392181375901476,21.060284,0.06900204,0.00027914342,1.0
38400,5.0591908,12.219780219780219,0.03573846932726376,0.0,0.0,-7.9497633,-9.227755437185476,-9.227755437185476,13.928496,0.07796184,0.0002772966,1.0
