Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.5444436,154.3125,0.004435331327840686,0.0,0.0,-0.08825655,-133.92213719685873,-133.92213719685873,63.682568,0.06593725,0.00029869622,1.0
4800,5.540321,116.05,0.00452252347022295,0.0,0.0,-0.53110754,-117.52723407745361,-117.52723407745361,75.68435,0.073894076,0.00029740858,1.0
7200,5.5375085,99.33333333333333,0.006189843623856591,0.0,0.0,-1.041213,-106.52436761061351,-106.52436761061351,70.320274,0.06286621,0.00029613057,1.0
9600,5.5284696,76.48484848484848,0.007003668543144033,0.0,0.0,-1.9436356,-75.16642564535141,-75.16642564535141,67.05104,0.07755605,0.00029478842,1.0
12000,5.514633,73.93333333333334,0.007972247623062383,0.0,0.0,-2.6417658,-77.16146413741573,-77.16146413741573,62.735386,0.06926895,0.00029350922,1.0
14400,5.4782085,57.0,0.010332126739887974,0.0,0.0,-3.4246373,-56.405244059678985,-56.405244059678985,58.46791,0.08644364,0.00029227624,1.0
16800,5.407224,37.36507936507937,0.013527518070556901,0.0,0.0,-4.478599,-35.33782632767208,-35.33782632767208,46.77664,0.070933014,0.00029104142,1.0
19200,5.327237,25.64835164835165,0.022704642463941126,0.0,0.0,-5.3157954,-22.340741684701708,-22.340741684701708,31.61432,0.06914885,0.000289188,1.0
21600,5.2009306,20.245454545454546,0.025529085208013978,0.0,0.0,-5.668719,-18.24881498515606,-18.24881498515606,24.291845,0.07057578,0.00028733522,1.0
24000,4.9949913,13.944099378881987,0.03371121854771201,0.0,0.0,-5.9600396,-10.801157215982675,-10.801157215982675,15.509519,0.07892126,0.0002861052,1.0
26400,4.742221,9.922374429223744,0.045440324327598015,0.0,0.0,-6.1233974,-6.7038566461981155,-6.7038566461981155,9.790013,0.0999558,0.00028487106,1.0
28800,4.3571815,7.091216216216216,0.05630092000784843,0.0,0.0,-6.086716,-3.5999548170301647,-3.5999548170301647,7.8838825,0.08818752,0.00028363682,1.0
31200,3.8529646,5.3403693931398415,0.0700347754788005,0.0,0.0,-5.8653374,-1.7574964085480782,-1.7574964085480782,7.8341784,0.08787868,0.00028239843,1.0
33600,3.2463512,4.194805194805195,0.08075456654101058,0.0,0.0,-5.1927037,-0.5365262398750819,-0.5365262398750819,9.681538,0.07675074,0.00028054594,1.0
36000,2.7666671,3.507518796992481,0.09138871189791525,0.0,0.0,-4.3571587,0.23752419586253212,0.23752419586253212,8.049947,0.08805295,0.00027868265,1.0
38400,2.583605,3.3550724637681157,0.09355311445620379,0.0,0.0,-3.590138,0.4135488332181737,0.4135488332181737,5.4850745,0.055517454,0.00027745203,1.0
40800,2.463679,3.2954954954954956,0.09475061517193227,0.0,0.0,-2.9417224,0.4617558311089151,0.4617558311089151,3.554101,0.059058566,0.00027622082,1.0
43200,2.3865151,3.1895652173913045,0.09651293693565008,0.0,0.0,-2.42363,0.5899768112841701,0.5899768112841701,2.2712867,0.065638945,0.00027499083,1.0
45600,2.344661,3.182926829268293,0.09620295395041657,0.0,0.0,-1.9818126,0.5967361538667713,0.5967361538667713,1.4253038,0.07492873,0.00027375962,1.0
48000,2.2780707,3.1453287197231834,0.09782152356007906,0.0,0.0,-1.6545722,0.6366469993904259,0.6366469993904259,0.720031,0.070484266,0.00027191162,1.0
50400,2.1965747,3.0923076923076924,0.09830126462846386,0.0,0.0,-1.3763278,0.6980977324902401,0.6980977324902401,0.29703447,0.076217815,0.00027006122,1.0
52800,2.1293926,3.057335581787521,0.09882184040957484,0.0,0.0,-1.1477283,0.7369361789645376,0.7369361789645376,0.14640617,0.060159575,0.00026882163,1.0
55200,2.0702815,3.04040404040404,0.0994102578323621,0.0,0.0,-1.0090232,0.7547691620961584,0.7547691620961584,0.082983084,0.06861327,0.00026759043,1.0
57600,2.012872,3.0252100840336134,0.09926229645116408,0.0,0.0,-0.9210078,0.771475749527848,0.771475749527848,0.042918637,0.06745816,0.00026635441,1.0
60000,1.9552586,3.0217391304347827,0.09945525431911305,0.0,0.0,-0.8763702,0.7760461403097539,0.7760461403097539,0.03575975,0.065778114,0.00026511602,1.0
62400,1.8857177,3.0251677852348995,0.09960474450833241,0.0,0.0,-0.85899085,0.7715316778861436,0.7715316778861436,0.027063522,0.0668695,0.00026326775,1.0
64800,1.8272269,3.0133779264214047,0.09948914575165715,0.0,0.0,-0.8513894,0.7853392603804037,0.7853392603804037,0.021243783,0.06567531,0.00026141942,1.0
67200,1.7795354,3.01,0.09967742079207974,0.0,0.0,-0.8429119,0.7889624487197519,0.7889624487197519,0.012629367,0.07708925,0.00026018763,1.0
