Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2400,5.5445414,172.35714285714286,0.004846222848365349,0.0,0.0,-0.01720006,-103.89489100529597,-103.89489100529597,1.0
4800,5.544646,123.2,0.004182537836540077,0.0,0.0,-0.15771754,-120.32835178375244,-120.32835178375244,1.0
7200,5.5447564,141.11111111111111,0.003282959045677939,0.0,0.0,-0.07912461,-150.30136422549978,-150.30136422549978,1.0
9600,5.5447707,120.05555555555556,0.003977199023425141,0.0,0.0,-0.01824032,-120.3094603889867,-120.3094603889867,1.0
12000,3.6223547,162.94444444444446,0.003802759785150342,0.0,0.0,-0.25017306,-144.6808670891656,-144.6808670891656,1.0
14400,1.0401001,131.0,0.0030303029343485832,0.0,0.0,-1.1113439,-386.6908187866211,-386.6908187866211,1.0
16800,1.8301048,661.5833333333334,0.005692307153367437,0.0,0.0,-1.5189486,None,None,1.0
19200,1.7742567,None,None,None,None,-2.8167307,-814.6972980499268,-814.6972980499268,1.0
21600,1.8506377,None,None,None,None,-2.3834474,-717.7805633544922,-717.7805633544922,1.0
24000,1.301341,264.40625,0.02454151210961221,0.0,0.0,-2.1751165,-127.42098039388657,-127.42098039388657,1.0
26400,0.9065822,610.0,0.0006546644726768136,0.0,0.0,-2.2270124,-757.5723876953125,-757.5723876953125,1.0
28800,0.81240016,None,None,None,None,-1.7811421,-944.1979370117188,-944.1979370117188,1.0
