Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2400,5.5446057,122.0,0.005086554406443611,0.0,0.0,0.01168464,-123.2244738528603,-123.2244738528603,1.0
4800,5.5446754,148.375,0.003809344441833673,0.0,0.0,0.028348155,-154.43129992485046,-154.43129992485046,1.0
7200,5.5447073,107.72727272727273,0.004499896106691184,0.0,0.0,0.008315954,-109.7906723022461,-109.7906723022461,1.0
9600,5.5447407,127.84210526315789,0.00421133036970308,0.0,0.0,0.116444476,-130.88931555497018,-130.88931555497018,1.0
12000,5.3518586,136.52941176470588,0.003947818603859667,0.0,0.0,0.04249054,-136.9447281781365,-136.9447281781365,1.0
14400,4.694897,149.38888888888889,0.007701861410168931,0.0,0.0,-0.41063097,-128.3277279668384,-128.3277279668384,1.0
16800,4.9024234,362.3333333333333,0.0015031243674457073,0.0,0.0,-0.9367423,-411.6935005187988,-411.6935005187988,1.0
19200,5.0173097,327.4,0.01578730807523243,0.0,0.0,-1.0059191,-516.1435060501099,-516.1435060501099,1.0
21600,5.232779,516.5,0.0031512204635267458,0.0,0.0,-1.1465507,-423.5041837692261,-423.5041837692261,1.0
24000,5.203929,85.6,0.015684747835621238,0.0,0.0,-1.7444763,-262.6528790791829,-262.6528790791829,1.0
26400,5.3023467,1448.0,0.0002760524512268603,0.0,0.0,-2.8466136,-736.6690950393677,-736.6690950393677,1.0
28800,4.8660192,535.5,0.022794493075101247,0.0,0.0,-2.3172553,-339.9048428684473,-339.9048428684473,1.0
31200,4.010918,100.84615384615384,0.008779265886087987,0.0,0.0,-1.700113,-304.41937601566315,-304.41937601566315,1.0
33600,4.1503806,300.6666666666667,0.0060405559423897005,0.0,0.0,-2.3921912,-273.05671792560156,-273.05671792560156,1.0
36000,5.019625,588.6666666666666,0.00140971245370262,0.0,0.0,-2.8062146,-662.693325805664,-662.693325805664,1.0
38400,4.1589713,200.4,0.01243797610513866,0.0,0.0,-2.0768292,-213.32498897205699,-213.32498897205699,1.0
40800,1.5453813,8.743697478991596,0.09155221260467393,0.0,0.0,-0.6990779,-5.71726237575547,-5.71726237575547,1.0
43200,0.9514264,3.030201342281879,0.09961829324149424,0.0,0.0,-0.59210676,0.7675702645999043,0.7675702645999043,1.0
45600,1.0412248,3.0,0.10000000149011612,0.0,0.0,-0.6331747,0.7999992370605469,0.7999992370605469,1.0
48000,1.0853574,3.0016722408026757,0.10000000149011612,0.0,0.0,-0.6573467,0.7981659038861593,0.7981659038861593,1.0
50400,1.0822308,3.069373942470389,0.09992509511079681,0.0,0.0,-0.68040645,0.7292889803142871,0.7292889803142871,1.0
52800,1.0763417,3.0016666666666665,0.10000000149011612,0.0,0.0,-0.67708606,0.7981659038861593,0.7981659038861593,1.0
